mutants,repbyrpoA
RMV8_3rd_T0,1.061522693
RMV8_3rd_T0,1.117165329
RMV8_3rd_T0,1.132941557
RMV8_3rd_T20,1.210792139
RMV8_3rd_T20,1.133772408
RMV8_3rd_T20,1.1988859
RMV8_3rd_T60,0.902068271
RMV8_3rd_T60,1.127171615
RMV8_3rd_T60,1.078961669
RMV8_3rd_T120,0.872308115
RMV8_3rd_T120,0.686260983
RMV8_3rd_T120,0.752444401
RMV8_3rd_T20_CSP,1.234453793
RMV8_3rd_T20_CSP,1.22419696
RMV8_3rd_T20_CSP,1.199918939
RMV8_3rd_T60_CSP,2.163462498
RMV8_3rd_T60_CSP,2.484691183
RMV8_3rd_T60_CSP,1.982074446
RMV8_3rd_T120_CSP,12.20186706
RMV8_3rd_T120_CSP,11.66820555
RMV8_3rd_T120_CSP,12.23275026
RMV8_3rd_T20_MMC,1.079506642
RMV8_3rd_T20_MMC,1.079542288
RMV8_3rd_T20_MMC,1.022109519
RMV8_3rdt_T60_MMC,1.105686782
RMV8_3rdt_T60_MMC,1.002171292
RMV8_3rdt_T60_MMC,1.010997535
RMV8_3rd_T120_MMC,1.598717279
RMV8_3rd_T120_MMC,1.759977943
RMV8_3rd_T120_MMC,1.628332855
RMV8_2nd_T0,1.575682783
RMV8_2nd_T0,1.6131686
RMV8_2nd_T0,1.470060693
RMV8_2nd_T20,1.092572087
RMV8_2nd_T20,1.133811635
RMV8_2nd_T20,1.019950204
RMV8_2nd_T60,1.188171235
RMV8_2nd_T60,1.284193999
RMV8_2nd_T60,1.267069288
RMV8_2nd_T120,1.015827955
RMV8_2nd_T120,1.019896966
RMV8_2nd_T120,0.997057684
RMV8_2nd_T20_CSP,1.311720887
RMV8_2nd_T20_CSP,1.273377421
RMV8_2nd_T20_CSP,1.325575027
RMV8_2nd_T60_CSP,1.377929909
RMV8_2nd_T60_CSP,1.366461876
RMV8_2nd_T60_CSP,1.453295414
RMV8_2nd_T120_CSP,3.152975156
RMV8_2nd_T120_CSP,3.286073446
RMV8_2nd_T120_CSP,3.318557289
RMV8_2nd_T20_MMC,1.264047641
RMV8_2nd_T20_MMC,1.297894167
RMV8_2nd_T20_MMC,1.205840817
RMV8_2nd_T60_MMC,1.228609489
RMV8_2nd_T60_MMC,1.329660127
RMV8_2nd_T60_MMC,1.232165024
RMV8_2nd_T120_MMC,1.324949833
RMV8_2nd_T120_MMC,1.273566713
RMV8_2nd_T120_MMC,1.396073154
