mutants,Fold_change,gene
2743_prophage_T0,0.061060263,dprA
2743_prophage_T0,0.056267671,dprA
2743_prophage_T0,0.063509301,dprA
2743_prophage_T20,0.110668575,dprA
2743_prophage_T20,0.096145823,dprA
2743_prophage_T60,1.877016732,dprA
2743_prophage_T60,1.757810803,dprA
2743_prophage_T60,2.500657639,dprA
2743_prophage_T120,3.242780845,dprA
2743_prophage_T120,3.130011567,dprA
2743_prophage_T120,3.712672852,dprA
2743_prophage_T20_CSP,222.1753485,dprA
2743_prophage_T20_CSP,250.4349427,dprA
2743_prophage_T20_CSP,226.2971674,dprA
2743_prophage_T60_CSP,4.495709417,dprA
2743_prophage_T60_CSP,4.639527929,dprA
2743_prophage_T60_CSP,4.662266246,dprA
2743_prophage_T120_CSP,3.62645558,dprA
2743_prophage_T120_CSP,3.597056031,dprA
2743_prophage_T120_CSP,3.034516675,dprA
2743_prophage_T0,0.064796412,dprA
2743_prophage_T0,0.048928169,dprA
2743_prophage_T0,0.069405789,dprA
2743_prophage_T20,0.066960675,dprA
2743_prophage_T20,0.06378255,dprA
2743_prophage_T20,0.094333573,dprA
2743_prophage_T60,0.101653581,dprA
2743_prophage_T60,0.109606994,dprA
2743_prophage_T60,0.092756599,dprA
2743_prophage_T120,0.012825837,dprA
2743_prophage_T120,0.012387229,dprA
2743_prophage_T120,0.005294427,dprA
2743_prophage_T20_CSP,335.6292033,dprA
2743_prophage_T20_CSP,320.5831308,dprA
2743_prophage_T20_CSP,319.3998551,dprA
2743_prophage_T60_CSP,137.5135479,dprA
2743_prophage_T60_CSP,127.7832506,dprA
2743_prophage_T60_CSP,108.6705334,dprA
2743_prophage_T120_CSP,13.95602707,dprA
2743_prophage_T120_CSP,11.99814686,dprA
2743_prophage_T120_CSP,11.27272447,dprA
2743_prophage_T0,0.608340511343462,dprA
2743_prophage_T0,0.579106398514196,dprA
2743_prophage_T0,1.007151167968610,dprA
2743_prophage_T20,0.136596170411469,dprA
2743_prophage_T20,0.112438213006358,dprA
2743_prophage_T20,0.118068196613551,dprA
2743_prophage_T20_CSP,73.223412287702500,dprA
2743_prophage_T20_CSP,75.730361977354500,dprA
2743_prophage_T20_CSP,69.197141712315700,dprA
2743_prophage_T60,0.289324248345370,dprA
2743_prophage_T60,0.128013302185029,dprA
2743_prophage_T60,0.124511540390633,dprA
2743_prophage_T60_CSP,1.836565114795150,dprA
2743_prophage_T60_CSP,1.794703958554230,dprA
2743_prophage_T60_CSP,1.996554590469540,dprA
2743_prophage_T120,11.835026578491600,dprA
2743_prophage_T120,12.145133217239300,dprA
2743_prophage_T120,11.174982493009200,dprA
2743_prophage_T120_CSP,19.777221882456600,dprA
2743_prophage_T120_CSP,20.098588395093400,dprA
2743_prophage_T120_CSP,20.465993032627000,dprA
