mutants,ratio
RMV8_Hybrid_T0,0.01626606
RMV8_Hybrid_T0,0.016846731
RMV8_Hybrid_T0,0.015692806
RMV8_Hybrid_T20,0.015901344
RMV8_Hybrid_T20,0.017284182
RMV8_Hybrid_T20,0.016232262
RMV8_Hybrid_T20_CSP,0.02233155
RMV8_Hybrid_T20_CSP,0.022183597
RMV8_Hybrid_T20_CSP,0.023073724
RMV8_Hybrid_T20_MMC,0.020830483
RMV8_Hybrid_T20_MMC,0.020843255
RMV8_Hybrid_T20_MMC,0.020654142
