OD600,control,control,control,5ng_ul_MMC,5ng_ul_MMC,5ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.016,0.028,0.022,0.012,0.024,0.027,0.026,0.036,0.033
00:30:00,0.231,0.248,0.237,0.222,0.237,0.236,0.234,0.253,0.248
01:00:00,0.336,0.393,0.38,0.355,0.371,0.374,0.34,0.373,0.358
01:30:00,0.45,0.487,0.465,0.416,0.436,0.442,0.399,0.42,0.421
02:00:00,0.576,0.618,0.606,0.541,0.561,0.564,0.501,0.52,0.516
02:30:00,0.588,0.654,0.641,0.584,0.606,0.606,0.552,0.582,0.571
03:00:00,0.609,0.675,0.662,0.59,0.62,0.621,0.55,0.578,0.565
03:30:00,0.609,0.676,0.673,0.607,0.634,0.644,0.564,0.592,0.569
04:00:00,0.618,0.691,0.683,0.601,0.631,0.639,0.556,0.58,0.562
04:30:00,0.625,0.676,0.674,0.593,0.629,0.632,0.544,0.567,0.55
05:00:00,0.641,0.672,0.669,0.577,0.612,0.613,0.523,0.542,0.522
05:30:00,0.643,0.677,0.66,0.557,0.595,0.596,0.504,0.521,0.495
06:00:00,0.649,0.673,0.651,0.541,0.579,0.579,0.484,0.504,0.482
06:30:00,0.647,0.667,0.649,0.528,0.564,0.568,0.467,0.487,0.469
07:00:00,0.638,0.661,0.644,0.513,0.546,0.548,0.444,0.462,0.451
07:30:00,0.641,0.654,0.637,0.499,0.533,0.535,0.428,0.443,0.434
08:00:00,0.63,0.648,0.632,0.487,0.515,0.522,0.412,0.429,0.418
08:30:00,0.631,0.646,0.628,0.475,0.507,0.512,0.397,0.416,0.408
09:00:00,0.619,0.637,0.62,0.464,0.493,0.5,0.385,0.402,0.394
09:30:00,0.612,0.63,0.612,0.45,0.484,0.489,0.372,0.388,0.378
10:00:00,0.619,0.623,0.604,0.438,0.473,0.476,0.36,0.374,0.365
10:30:00,0.604,0.615,0.596,0.424,0.461,0.466,0.351,0.362,0.346
11:00:00,0.594,0.604,0.589,0.416,0.449,0.453,0.338,0.351,0.338
11:30:00,0.597,0.595,0.578,0.405,0.435,0.442,0.326,0.341,0.332
12:00:00,0.597,0.586,0.57,0.393,0.423,0.43,0.315,0.327,0.323
12:30:00,0.585,0.576,0.559,0.383,0.412,0.418,0.304,0.316,0.311
13:00:00,0.574,0.567,0.547,0.37,0.401,0.406,0.295,0.306,0.303
13:30:00,0.569,0.555,0.537,0.359,0.39,0.398,0.286,0.299,0.292
14:00:00,0.559,0.542,0.524,0.351,0.379,0.387,0.278,0.289,0.282
14:30:00,0.538,0.525,0.513,0.34,0.369,0.376,0.27,0.28,0.274
15:00:00,0.517,0.509,0.497,0.328,0.357,0.364,0.262,0.271,0.266
15:30:00,0.497,0.491,0.483,0.32,0.347,0.354,0.255,0.264,0.258
16:00:00,0.476,0.479,0.466,0.31,0.336,0.343,0.246,0.256,0.25
16:30:00,0.458,0.457,0.449,0.301,0.328,0.333,0.239,0.249,0.243
17:00:00,0.431,0.445,0.433,0.29,0.317,0.324,0.233,0.242,0.235
17:30:00,0.405,0.429,0.413,0.282,0.308,0.315,0.227,0.237,0.231
18:00:00,0.38,0.41,0.396,0.272,0.297,0.306,0.221,0.232,0.224
18:30:00,0.354,0.392,0.376,0.264,0.289,0.295,0.214,0.225,0.218
19:00:00,0.327,0.371,0.359,0.254,0.279,0.287,0.207,0.218,0.21
19:30:00,0.302,0.354,0.34,0.245,0.269,0.276,0.201,0.211,0.202
