mutants,deletions
gd_partial1,1.1
gd_partial 3,0.952380952
gd_ssbB_KO,0.810526316
gd_partial1,1.042253521
gd_partial 3,1.061946903
gd_ssbB_KO,2.396825397
gd_partial1,1.036363636
gd_partial 3,1.888888889
gd_ssbB_KO,0.979591837
gd_partial1,1.638297872
gd_partial 3,0.492957746
gd_partial1,0.307692308
gd_partial 3,1.369565217
gd_partial1,2.475
gd_partial 3,1.661016949
gd_partial1,0.519337017
gd_partial 3,0.856031128
gd_ssbB_KO,1.208333333
gd_lytA,0.626923077
gd_lytA,0.689138577
gd_partial1,0.365517241
gd_partial 3,0.175
gd_ssbB_KO,0.095238095
gd_lytA,0.316666667
gd_lytA,0.2
gd_partial1,4.72
gd_partial 3,4.761904762
gd_ssbB_KO,5.882352941
gd_lytA,0.642857143
gd_partial1,1.161538462
gd_partial 3,0.305
gd_ssbB_KO,0.415254237
gd_lytA,1.105769231
gd_lytA,0.458966565
gd_lytA,1.617021277
gd_ssbB,1.172413793
gd_partial1,0.927272727
gd_partial 3,0.791208791
gd_lytA,0.892307692
