mutants,gene,fold_change
RMV8_T0,comX,1.04059130996561
RMV8_T0,comX,0.94684224692805
RMV8_T0,comX,1.01494020203902
RMV8_T20,comX,0.56018480732082
RMV8_T20,comX,0.59602496751468
RMV8_T20,comX,0.58580125945064
RMV8_T20_CSP,comX,1.39603827955214
RMV8_T20_CSP,comX,2.01842414588527
RMV8_hybrid_T0,comX,0.992387538842299
RMV8_hybrid_T0,comX,0.965811697993007
RMV8_hybrid_T0,comX,1.043342288724520
RMV8_hybrid_T20,comX,1.618368364496310
RMV8_hybrid_T20,comX,2.274778644892380
RMV8_hybrid_T20,comX,2.113985661534710
RMV8_hybrid_T20_CSP,comX,4.525274220142520
RMV8_hybrid_T20_CSP,comX,4.678424333968570
RMV8_hybrid_T20_CSP,comX,4.406103788471990
RMV8_T0,comX,1.00148446700504
RMV8_T0,comX,1.00347381810628
RMV8_T0,comX,0.99505712557811
RMV8_T20,comX,0.86328255446458
RMV8_T20,comX,1.23563451476796
RMV8_T20,comX,1.18594295965477
RMV8_T20_CSP,comX,55.42244500558700
RMV8_T20_CSP,comX,56.64846946799000
RMV8_T20_CSP,comX,59.23336283593250
RMV8_hybrid_T0,comX,1.03187420605678
RMV8_hybrid_T0,comX,1.00190957272737
RMV8_hybrid_T0,comX,0.96726587411796
RMV8_hybrid_T20,comX,1.41200530988709
RMV8_hybrid_T20,comX,1.43264062495960
RMV8_hybrid_T20,comX,1.46230522682805
RMV8_hybrid_T20_CSP,comX,8.47049953007027
RMV8_hybrid_T20_CSP,comX,8.49725039485205
RMV8_hybrid_T20_CSP,comX,8.50121691815197
RMV8_T0,comX,0.94811241813040
RMV8_T0,comX,1.06655506355523
RMV8_T0,comX,0.98890764624865
RMV8_T20,comX,4.61831006406085
RMV8_T20,comX,4.69572537969321
RMV8_T20,comX,4.79595436833845
RMV8_T20_CSP,comX,25.60717741501550
RMV8_T20_CSP,comX,27.42852348214100
RMV8_T20_CSP,comX,26.39726840757930
RMV8_hybrid_T0,comX,0.99708907330059
RMV8_hybrid_T0,comX,1.01150826097555
RMV8_hybrid_T0,comX,0.99150757111166
RMV8_hybrid_T20,comX,0.42615923247687
RMV8_hybrid_T20,comX,0.45119704640474
RMV8_hybrid_T20,comX,0.44134381936471
RMV8_hybrid_T20_CSP,comX,1.39638161544952
RMV8_hybrid_T20_CSP,comX,1.39896857526006
RMV8_hybrid_T20_CSP,comX,1.40243890863279
