OD600,control,control,control,5ng_ul_MMC,5ng_ul_MMC,5ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.042,0.049,0.048,0.049,0.053,0.058,0.066,0.072,0.082
00:30:00,0.059,0.061,0.062,0.062,0.062,0.071,0.081,0.09,0.095
00:41:00,-0.079,0.025,0.04,0.078,0.097,0.103,0.168,0.194,0.112
01:11:00,0.08,0.085,0.089,0.083,0.092,0.093,0.11,0.116,0.121
01:41:00,0.091,0.111,0.115,0.132,0.124,0.123,0.159,0.178,0.146
02:11:00,0.153,0.162,0.167,0.14,0.147,0.148,0.145,0.157,0.156
02:41:00,0.204,0.225,0.222,0.167,0.176,0.178,0.164,0.175,0.179
03:11:00,0.299,0.329,0.318,0.218,0.225,0.225,0.199,0.205,0.218
03:41:00,0.435,0.451,0.444,0.296,0.309,0.31,0.248,0.262,0.265
04:11:00,0.503,0.534,0.531,0.385,0.393,0.41,0.323,0.338,0.342
04:41:00,0.505,0.54,0.534,0.456,0.467,0.478,0.411,0.431,0.421
05:11:00,0.494,0.556,0.549,0.465,0.464,0.477,0.425,0.451,0.434
05:41:00,0.546,0.576,0.574,0.492,0.485,0.5,0.425,0.443,0.438
06:11:00,0.56,0.601,0.602,0.523,0.53,0.541,0.454,0.478,0.467
06:41:00,0.564,0.599,0.606,0.538,0.555,0.57,0.505,0.528,0.516
07:11:00,0.569,0.596,0.605,0.532,0.557,0.571,0.517,0.55,0.547
07:41:00,0.579,0.603,0.612,0.533,0.552,0.569,0.509,0.546,0.543
08:11:00,0.578,0.599,0.6,0.531,0.55,0.57,0.498,0.541,0.534
08:41:00,0.566,0.59,0.592,0.528,0.546,0.568,0.495,0.54,0.533
09:11:00,0.555,0.575,0.573,0.522,0.545,0.567,0.497,0.541,0.531
09:41:00,0.546,0.552,0.557,0.512,0.536,0.554,0.491,0.533,0.528
10:11:00,0.545,0.54,0.542,0.499,0.525,0.547,0.493,0.53,0.525
10:41:00,0.532,0.525,0.526,0.487,0.514,0.536,0.487,0.525,0.523
11:11:00,0.523,0.513,0.514,0.472,0.5,0.522,0.481,0.519,0.519
11:41:00,0.521,0.499,0.502,0.454,0.487,0.507,0.472,0.515,0.514
12:11:00,0.511,0.481,0.484,0.446,0.471,0.493,0.464,0.51,0.51
12:41:00,0.499,0.477,0.481,0.438,0.462,0.483,0.457,0.51,0.507
13:11:00,0.49,0.463,0.464,0.429,0.45,0.474,0.459,0.507,0.511
13:41:00,0.475,0.446,0.447,0.422,0.442,0.466,0.457,0.506,0.507
14:11:00,0.468,0.438,0.437,0.416,0.432,0.457,0.452,0.505,0.506
14:41:00,0.457,0.428,0.422,0.407,0.423,0.452,0.453,0.504,0.504
15:11:00,0.447,0.407,0.411,0.4,0.418,0.442,0.447,0.502,0.509
15:41:00,0.433,0.397,0.392,0.388,0.411,0.438,0.442,0.496,0.505
16:11:00,0.424,0.381,0.379,0.381,0.401,0.428,0.438,0.494,0.501
16:41:00,0.415,0.368,0.364,0.371,0.393,0.423,0.438,0.486,0.496
17:11:00,0.399,0.356,0.351,0.36,0.384,0.417,0.442,0.482,0.493
17:41:00,0.386,0.342,0.336,0.353,0.379,0.409,0.444,0.476,0.487
18:11:00,0.375,0.329,0.323,0.339,0.369,0.402,0.443,0.468,0.481
18:41:00,0.364,0.319,0.309,0.329,0.362,0.407,0.439,0.466,0.479
19:11:00,0.352,0.303,0.297,0.316,0.354,0.405,0.436,0.46,0.471
19:41:00,0.338,0.296,0.286,0.307,0.348,0.403,0.426,0.458,0.461
20:11:00,0.326,0.281,0.271,0.295,0.349,0.401,0.419,0.445,0.44
