Lane.Id,Public.Name,Serotype,Strain
9789_2#1,D49793,18C,11
9789_2#2,1007374,5,8
9789_2#3,D7610,5,8
9789_2#4,D30686,10B,30
9789_2#6,C22318,5,8
9789_2#7,C22246,6A,62
9789_2#8,D56471,6A,30
9789_2#9,D26870,14,9
9789_2#11,D54582,5,8
9789_2#12,D26855,6B,183
9789_2#13,C23870,5,8
9789_2#15,D26805,1,2
9789_2#16,D57096,5,8
9789_2#17,1007130,1,2
9789_2#18,D25748,1,2
9789_2#19,C22380,19A,53
9789_2#20,D55333,6B,183
9789_2#21,C23361,23F,20
9789_2#22,D16771,6A,223
9789_2#23,D56382,5,8
9789_2#24,D51924,6A,120
9789_2#25,C19309,5,8
9789_2#26,D56178,18C,40
9789_2#27,D53427,6A,13
9789_2#28,D51814,14,9
9789_2#29,D44689,1,2
9789_2#30,1003082,23F,20
9789_2#31,D55280,19A,17
9789_2#33,C17490,18F,142
9789_2#34,1005787,5,8
9789_2#35,D50597,19A,53
9789_2#36,D34505,9V,22
9789_2#37,C16949,19A,116
9789_2#38,1005792,23F,176
9789_2#39,C3600,6B,120
9789_2#40,D32370,19A,17
9789_2#41,D43004,9V,54
9789_2#42,D2453,6A,223
9789_2#43,A60311,3,10
9789_2#45,C15358,5,8
9789_2#49,C20960,18F,142
9789_2#50,1004168,1,2
9789_2#51,C12139,19A,17
9789_2#53,D38165,46,26
9789_2#54,D17269,9V,61
9789_2#55,D51826,9V,54
9789_2#57,C13356,6A,13
9789_2#58,D13084,1,2
9789_2#60,D7661,6A,13
9789_2#61,D12791,23F,20
9789_2#63,D57286,19F,21
9789_2#64,C15155,6A,13
9789_2#65,D30625,23F,20
9789_2#66,D51832,4,86
9789_2#67,A54136,1,2
9789_2#68,D25235,1,2
9789_2#69,D56349,18C,40
9789_2#71,D27175,1,2
9789_2#72,A59815,18A,61
9789_2#74,D25736,19F,21
9789_2#75,B22581,14,9
9789_2#76,C22387,2,96
9789_2#77,A59776,4,86
9789_2#78,B22515,4,86
9789_2#79,1005015,5,8
9789_2#80,A59564,17F,61
9789_2#81,A57264,3,10
9789_2#82,D39297,16F,268
9789_2#83,D9236,14,9
9789_2#84,D38708,19F,21
9789_2#86,D27540,1,2
9789_2#88,D32101,9L,325
9789_2#90,D35045,19F,21
9789_2#91,C12270,6B,183
9789_3#1,C9909,6B,120
9789_3#4,D40872,1,2
9789_3#6,A59375,5,8
9789_3#7,D36663,23F,5
9789_3#8,C19211,18C,40
9789_3#9,C14508,19F,21
9789_3#10,A57152,5,8
9789_3#11,C16094,18C,40
9789_3#16,C12480,6A,13
9789_3#19,D26808,7F,56
9789_3#36,5542242_3253364_267,18C,40
9789_3#37,5543412_3271480_288,19F,21
9789_3#40,5545864_3271628_312,19F,21
9789_3#42,5547592_3271711_343,10B,30
9789_3#46,5547834_3255187_402,16F,114
9789_3#47,5542199_3255268_407,10B,30
9789_3#49,5547848_3292599_437,6A,190
9789_3#50,5545690_3255446_467,23F,20
9789_3#51,5545687_3255459_468,23F,20
9789_3#52,5544296_3254929_471,19A,53
9789_3#53,5549072_3323666_593,23F,91
9789_3#54,5549043_3294858_621,6A,13
9789_3#57,5550266_3323297_645,3,10
9789_3#58,5550949_3296971_661,4,86
9789_3#60,5547903_3328848_667,6B,227
9789_3#61,5547848_3325937_748,16F,33
9789_3#62,5544704_3297142_777,10A,145
9789_3#65,5549043_3346456_788,15A,22
9789_3#66,5549916_3346443_791,6B,280
9789_3#69,5547851_3360083_847,4,86
9789_3#70,5541726_3346512_851,6B,579
9789_3#73,5517027_3368148_894,19F,21
9789_3#74,5550935_3367919_914,16F,33
9789_3#75,5544501_3368070_919,6B,181
9789_3#76,5547834_3368326_922,3,9
9789_3#77,5549068_3375153_935,23F,91
9789_3#78,5552769_3374555_972,15BC,216
9789_3#80,5555753_3364817_1004,13,65
9789_3#81,5550923_3376610_1017,31,57
9789_3#82,5550952_3365567_1053,19B,161
9789_3#83,5541578_3364614_1071,23B,102
9789_3#88,5597022_3833151_5875,23F,20
9789_3#91,5570433_3530721_2440,35B,5
9789_4#4,5569378_3540113_2624,16F,33
9789_4#12,5559820_3617118_3483,NT,60
9789_4#13,5602931_3811021_5678,NT,60
9789_4#14,5596999_3677451_4858,NT,60
9789_4#28,5537809_3530117_2570,35B,5
9789_4#29,5585135_3676606_4602,19A,53
9789_4#32,5566494_3473981_1969,18C,68
9789_4#36,5567732_3551158_2825,7F,56
9789_4#37,2520950_3695279_4416,34,281
9789_4#39,5558059_3516507_2355,14,9
9789_4#40,5552769_3484721_1968,16F,33
9789_4#45,5572080_3701844_4432,19A,53
9789_4#46,5563311_3710229_4734,6A,251
9789_4#48,5566368_3485113_1948,18C,68
9789_4#56,5552702_3484214_1943,14,9
9789_4#60,5550952_3551051_2817,19B,161
9789_4#61,5581602_3699196_4268,19F,21
9789_4#64,5532723_3467313_1898,23F,20
9789_4#68,5574612_3572565_3209,19A,53
9789_4#70,5571918_3702108_4707,19F,21
9789_4#71,5566384_3530297_2464,23F,20
9789_4#72,5551591_3482268_1888,11A,11
9789_4#79,5420822_3530052_2573,19F,21
9789_4#80,4504506_3620548_3637,3,10
9789_4#86,5597238_3809954_5468,4,79
9789_4#88,5410919_3537407_2575,5,8
9789_4#89,4382066_3587842_3230,22A,40
9789_5#1,5497536_3708960_4792,18A,61
9789_5#4,5593010_3809995_5471,10B,30
9789_5#5,5581628_3710163_4732,18A,61
9789_5#6,5496381_3511845_2433,34,34
9789_5#7,5394208_3587500_3181,15A,22
9789_5#14,5505485_3474232_1811,9V,22
9789_5#15,5296085_3530093_2571,35B,5
9789_5#22,5426576_3519364_2366,13,65
9789_5#23,2933116_3537327_2566,21,71
9789_5#30,5605035_3844861_5962,15BC,216
9789_5#34,5530194_3810071_5498,15BC,216
9789_5#38,5585591_3709486_4754,34,281
9789_5#39,4149945_3625116_4661,6B,129
9789_5#40,5274683_3531810_2882,34,217
9789_5#41,2207595_3512234_3372,NT,60
9789_5#46,5562725_3710943_4787,19F,192
9789_5#47,5345469_3620481_3634,18C,68
9789_5#49,5394208_3550795_2729,3,10
9789_5#51,5472143_3637522_4323,19F,192
9789_5#54,5484551_3537383_2576,5,8
9789_5#57,4282557_3539372_2760,34,34
9789_5#59,5439111_3365583_1083,9V,22
9789_5#60,5494065_3368299_904,18C,68
9789_5#61,5446060_3320015_560,16F,33
9789_5#65,5468942_3402552_1168,16F,33
9789_5#66,5505209_3419443_1485,6B,181
9789_5#67,5447040_3365693_1080,10A,145
9789_5#68,5479984_3368203_898,9V,54
9789_5#69,5463595_3254958_474,18C,40
9789_5#73,5256623_3793873_5599,19B,161
9789_5#74,5447983_3375291_962,6A,223
9789_5#75,5478390_3418119_1400,20A,184
9789_5#76,5418386_3365538_1069,11A,11
9789_5#77,5464476_3368119_869,16F,33
9789_5#78,5383579_3255364_459,16F,114
9789_5#83,5384052_3319778_600,23F,20
9789_5#84,5445299_3418177_1392,15BC,216
9789_5#85,5459746_3364575_1050,23F,20
9789_5#86,5447040_3346730_864,19F,202
9789_5#89,5352937_3473158_1737,9V,22
9789_5#90,5306374_3519268_2371,31,57
9716_7#1,5375556_3271576_310,6B,181
9716_7#2,5473576_3431355_1374,23F,20
9716_7#3,5463595_3376542_1023,23F,20
9716_7#4,5461798_3297293_796,15BC,216
9716_7#8,5572966_3702181_4711,23F,20
9716_7#11,5510682_3447744_1538,5,8
9716_7#12,5480690_3376500_1013,6A,13
9716_7#13,5495919_3325898_756,23F,20
9716_7#14,5350079_3254766_375,19A,17
9716_7#16,4512638_3527622_2410,3,10
9716_7#17,5236301_3482364_1887,6A,13
9716_7#20,5494516_3448260_1501,9V,22
9716_7#22,5479984_3335906_717,6A,13
9716_7#25,5213210_3527809_2417,9V,54
9716_7#26,1948517_3482340_1889,10B,30
9716_7#29,5483490_3431561_1330,7C,92
9716_7#31,5418386_3328999_678,19F,202
9716_7#32,5447983_3271753_335,34,281
9716_7#34,5291394_3484515_1908,19B,161
9716_7#36,4775246_3593331_4122,23A,116
9716_7#37,5447983_3404170_1195,14,9
9716_7#39,5480690_3323335_643,3,10
9716_7#40,5479984_3251869_326,19F,21
9716_7#43,5357316_3483811_1933,23F,20
10395_5#3,PI0088,5,8
10395_5#5,PI0087,6A,5
10395_5#6,PI0185,6A,47
10395_5#7,PI0050,1,2
10395_5#8,PI0173,6A,47
10395_5#9,PI0049,1,2
10395_5#10,PI0103,14,108
10395_5#12,PI0079,5,8
10395_5#13,PI0052,23F,20
10395_5#18,PI0102,6B,407
10395_5#20,PI0100,23B,78
10395_5#25,PI0099,11C,408
10395_5#29,PI0062,23F,94
10395_5#30,PI0093,1,2
10395_5#32,PI0101,19F,84
10395_5#33,PI0179,14,9
10395_5#34,PI0259,14,9
10395_5#36,PI0247,23F,16
10395_5#38,PI0239,10A,94
10395_5#39,PI0258,35D,5
10395_5#40,PI0235,6A,409
10395_5#41,PI0206,6A,5
10395_5#46,PI0227,6B,129
10395_5#47,PI0253,6B,129
10395_5#52,PI0226,14,9
10395_5#53,PI0203,12F,26
10395_5#54,PI0241,23F,410
10395_5#55,PI0261,17F,411
10395_5#56,PI0208,6A,5
10395_5#60,PI0228,6A,62
10395_5#61,PI0231,6B,342
10395_5#62,PI0232,1,2
10395_5#63,PI0240,19F,84
10395_5#64,PI0243,19A,94
11511_7#3,3416_99,14,39
11511_7#5,3085_98,4,27
11511_7#6,2185_98,19F,16
11822_1#9,2861_98,14,6
11822_1#11,5327_98,18C,50
11822_1#12,5330_98,6A,29
11822_1#13,5367_98,14,18
11822_1#14,5377_98,14,18
11822_1#15,5466_98,14,18
11893_8#1,1288_98,14,18
11511_7#9,1051_98,1,31
11822_1#21,2720_00,9V,6
11822_1#23,0473_00,23F,7
11822_1#24,0474_00,14,18
11822_1#25,0487_00,18C,3
11511_7#10,0490_00,4,27
11822_1#26,0568_00,4,27
11511_7#11,0579_00,9V,6
11822_1#27,0588_00,4,27
11822_1#28,1506_98,14,39
11511_7#13,0036_00,19F,1
11822_1#29,5348_00,12F,32
11822_1#30,5350_00,14,39
11511_7#14,5352_00,6A,29
11511_7#15,0811_00,14,18
11511_7#16,4586_00,18B,50
11511_7#17,4657_00,4,27
11822_1#32,4393_03,18C,50
11822_1#33,4402_03,14,39
11511_7#18,4406_03,4,27
11822_1#34,4424_03,14,4
11822_1#35,4429_03,6A,23
11511_7#19,4441_03,14,39
11511_7#21,4443_03,19F,16
11511_7#22,5267_03,14,18
11511_7#23,5270_03,14,39
11511_7#24,5274_03,14,39
11511_7#25,5287_03,14,18
11822_1#38,5289_03,6A,64
11822_1#39,5291_03,14,18
11511_7#26,5296_03,14,39
11822_1#40,0246_00,14,39
11511_7#28,0672_00,18C,11
11511_7#29,0692_00,6B,23
11822_1#42,2788_00,14,39
11511_7#32,1015_00,14,18
11511_7#34,1018_00,14,18
11822_1#45,4270_98,14,39
11822_1#46,6294_03,14,6
11511_7#35,6298_03,9N,16
11822_1#47,6319_03,18C,50
11511_7#36,6350_03,18C,50
11822_1#48,6352_03,14,18
11822_1#50,6972_03,19F,4
11511_7#38,1050_00,22F,19
11822_1#51,0939_00,14,18
11822_1#52,0940_00,14,39
11822_1#53,0942_00,14,18
11511_7#40,0970_00,9V,6
11822_1#54,7102_99,7F,15
11511_7#41,1873_00,6A,97
11511_7#42,3414_99,9V,6
11893_8#2,5351_00,9V,6
11511_7#44,3056_00,6A,97
11511_7#45,3100_00,22F,19
11511_7#46,3301_00,6B,24
11511_7#49,3428_00,18C,3
11511_7#50,3435_00,19F,18
11511_7#51,1879_00,6B,23
11511_7#52,1897_00,22F,19
11511_7#53,1898_00,14,39
11511_7#54,2050_00,1,31
11511_7#55,2062_00,14,39
11511_7#56,2064_00,5,8
11511_7#57,3352_00,19A,11
11511_7#59,0711_00,15BC,4
11511_7#60,4935_00,6A,29
11511_7#61,6336_00,14,9
11511_7#62,6338_00,24,10
11511_7#63,7114_99,16F,135
11511_7#64,7116_99,14,39
11511_7#65,7117_99,19A,4
11511_7#66,7142_99,4,27
11511_7#67,7143_99,4,27
11511_7#69,7149_99,14,39
11511_7#70,7151_99,18C,16
11511_7#71,7175_99,6A,13
11511_7#72,3124_99,6A,97
11511_7#73,7792_99,23F,16
11511_7#74,1968_98,14,18
11511_7#75,5851_99,4,27
11511_7#76,3867_99,14,16
11511_7#77,6279_99,14,39
11511_7#78,4025_99,23F,7
11822_1#55,4402_99,6A,97
11822_1#56,4447_99,19A,4
11511_7#79,4487_99,15BC,4
11511_7#80,1585_99,5,8
11511_7#81,1652_99,4,27
11511_7#82,1237_99,12F,32
11511_7#83,1239_99,14,39
11511_7#85,1327_99,4,27
11893_8#30,2733_99,6C,111
11826_1#7,2781_99,18C,50
11822_1#58,2845_99,6B,23
11893_8#3,2896_99,14,9
11826_1#9,2909_99,14,108
11826_1#10,3913_99,33F,3
11822_1#59,4757_99,6B,23
11822_1#60,4758_99,6B,23
11822_1#61,4766_99,6A,97
11826_1#13,5043_99,18C,50
11822_1#62,7031_99,6A,97
11826_1#14,7066_99,14,39
11826_1#17,5269_99,14,39
11826_1#18,5401_00,1,31
11826_1#19,1085_00,14,39
11822_1#63,1088_00,14,18
11826_1#21,2941_00,14,4
11826_1#23,1464_00,35B,75
11826_1#24,1533_00,12F,32
11826_1#25,1662_00,6A,13
11826_1#26,4188_00,18C,50
11826_1#30,0074_99,18B,50
11893_8#4,0223_99,14,39
11826_1#34,0995_99,14,39
11826_1#37,0581_99,18C,50
11826_1#38,0584_99,22F,19
11826_1#39,0602_99,11A,3
11826_1#40,0648_99,14,16
11826_1#41,0767_99,23F,16
11826_1#42,0840_99,9V,6
11893_8#5,0869_99,23F,7
11826_1#44,0880_99,9V,6
11826_1#46,0892_99,9V,6
11822_1#64,0939_99,6A,97
11826_1#48,1013_99,23F,16
11826_1#49,1014_99,1,31
11826_1#50,3027_03,18C,50
11826_1#51,3031_03,19A,4
11826_1#52,5317_99,14,18
11826_1#55,3611_99,23F,7
11826_1#57,3615_99,18C,50
11826_1#58,3698_99,19F,16
11826_1#60,3731_99,6B,23
11826_1#61,7534_99,6A,97
11826_1#62,7585_99,9V,6
11826_1#64,3482_99,14,6
11826_1#65,3484_99,14,6
11822_1#65,7721_99,19F,16
11826_1#68,7742_99,14,39
11826_1#69,7777_99,4,27
11826_1#70,3090_99,14,18
11822_1#66,5812_99,7F,15
11826_1#71,5817_99,38,38
11826_1#72,2184_98,23F,7
11826_1#73,2344_98,9V,6
11826_1#74,2641_98,1,31
11822_1#67,4399_98,6A,97
11822_1#68,4538_98,14,39
11940_1#4,5631_98,19A,11
11826_1#77,1839_98,15BC,4
11822_1#69,0392_00,18C,50
11822_1#70,0431_00,19F,175
11826_1#78,0814_00,4,27
11826_1#79,4566_00,6B,23
11822_1#71,4575_00,6A,13
11822_1#72,4624_00,23F,7
11826_1#80,4740_00,19A,4
11822_1#73,4380_03,9V,6
11822_1#76,5262_03,18C,50
11822_1#77,5294_03,22F,19
11657_2#1,4940_00,14,18
11657_2#2,7617_99,18C,50
11657_2#4,1008_00,12F,32
11657_2#5,3868_98,6A,13
11657_2#9,1068_00,6A,97
11657_2#10,0969_00,4,27
11822_1#78,6378_99,19F,1
11657_2#12,1234_99,14,39
11657_2#16,5037_99,6B,24
11657_2#18,3061_00,18C,50
11657_2#19,3310_00,4,27
11822_1#80,3354_00,14,6
11657_2#20,3365_00,23F,7
11657_2#21,2176_00,23F,7
11657_2#22,3044_03,1,31
11657_2#24,2418_99,19F,1
11657_2#25,2514_99,12F,32
11822_1#81,5626_01,9V,6
11657_2#26,2009219590,19F,10
11657_2#27,0043_99,23F,7
11657_2#28,0068_99,8,98
11657_2#29,0283_99,4,27
11893_8#9,0452_99,6B,23
11822_1#83,0518_99,14,18
11822_1#85,0752_99,9V,6
11822_1#86,1026_98,23F,16
11822_1#87,1582_99,15BC,4
11822_1#88,2269_99,11A,3
11657_2#35,2280_99,23F,7
11822_1#89,2450_99,14,39
11822_1#90,2691_99,34,45
11657_2#39,4501_99,4,27
11657_2#45,3211_99,23F,7
11657_2#47,2785_99,4,27
11657_2#48,2832_99,4,27
11657_2#49,6357_99,14,18
11657_2#50,6366_99,22F,19
11657_2#52,0133_99,18C,50
11657_2#53,5005_99,14,39
11822_1#94,5102_99,6B,76
11657_2#55,0960_00,19F,16
11657_2#56,1058_00,18C,50
11657_2#57,4837_00,19F,119
11657_2#58,5753_00,14,39
11822_1#95,5754_00,3,12
11657_2#59,6516_99,12F,32
11791_1#4,5000_99,6A,29
11657_2#72,5116_99,6A,97
11657_2#73,5118_99,10A,35
11657_2#76,7264_99,9V,6
11657_2#78,7455_99,6A,97
11791_1#5,2989_99,3,12
11657_2#80,0977_99,14,18
11791_1#6,3003_03,19F,175
11657_2#83,2525_99,14,39
11657_2#84,2574_99,19A,97
11657_2#86,1131_00,6A,29
11657_2#87,1160_00,31,19
11657_1#70,1265_00,9V,6
11657_1#71,1309_00,18C,11
11791_1#7,1318_00,9V,6
11657_1#72,3015_00,7C,18
11657_1#73,1668_00,14,18
11657_1#74,2945_00,22F,19
11657_1#75,1833_00,14,18
11657_1#76,1834_00,19F,4
11657_1#77,1868_00,16F,46
11657_1#78,3644_03,23A,7
11657_1#79,1655_00,14,39
11657_1#80,5633_98,12F,32
11657_1#81,2711_00,6C,89
11657_1#83,5314_03,4,27
11657_1#84,0351_00,5,8
11657_1#85,0648_00,4,27
11657_1#86,0702_00,6B,23
11791_1#11,6966_03,14,18
11657_1#89,0986_00,18A,95
11657_1#90,0959_00,23F,7
11791_1#12,3067_00,22F,19
11791_1#13,3501_00,19A,4
11657_1#91,4198_00,9V,6
11658_1#2,2066_00,6A,29
11658_1#3,3678_00,19A,4
11658_1#5,3330_99,6B,24
11791_1#17,3684_99,9V,6
11658_1#6,5422_99,9V,6
11658_1#9,5362_99,4,27
11658_1#10,1985_98,16F,135
11791_1#19,3090_98,8,224
11658_1#11,3659_99,9V,6
11658_1#12,0236_99,1,31
11658_1#13,0444_99,23F,14
11658_1#15,0104_99,14,9
11658_1#16,0635_99,4,27
11658_1#18,7672_99,14,39
11791_1#21,3535_99,6B,23
11791_1#22,3439_99,4,27
11658_1#19,2750_98,18C,68
11791_1#23,3432_99,9V,6
10900_6#96,ZA_GPS_SP1,14,18
11658_1#20,PNI0207,7F,32
11658_1#21,PNI0173,7F,32
11658_1#24,PNI0149,22A,40
11658_1#25,PNI0222,1,2
11658_1#30,PI0165,6B,23
11893_8#10,PI0167,35D,72
11791_1#25,PI0041,23F,20
11658_1#32,PI0123,1,2
11791_1#26,PI0171,3,83
11791_1#27,PI0054,1,2
11658_1#34,PI0042,1,2
11658_1#38,PI0031,1,2
11791_1#30,PI0006,1,2
11940_1#10,PI0126,1,2
11658_1#48,PI0030,1,2
11658_1#50,PI0043,1,2
11658_1#56,PI0002,1,2
11791_1#33,PI0045,1,2
11658_1#59,PI0172,6A,47
11658_1#62,PI0166,5,8
11658_1#63,PI0170,14,9
11791_1#37,PI0164,5,8
11791_1#38,PNI0076,1,2
11658_1#69,PI0160,1,2
11658_1#70,PI0163,9V,43
11791_1#41,PNI0615,5,8
11791_1#42,PNI0169,1,2
11940_1#12,PNI0373,1,2
11791_1#44,PNI0569,1,2
11791_1#45,PNI0469,1,2
11791_1#46,PNI0482,23F,20
11791_1#48,PNI0468,23F,20
11791_1#49,PNI0251,46,88
11791_1#51,PNI0197,1,2
11791_1#52,PNI0438,14,9
11658_1#73,PNI0427,1,2
11791_1#55,PNI0295,1,2
11791_1#56,PNI0290,1,2
11658_1#76,PNI0239,23F,20
11658_8#23,PNI0279,1,2
11658_1#77,PNI0274,5,8
11658_1#78,PNI0304,9L,88
11658_1#79,PNI0372,1,2
11791_1#57,PNI0289,14,108
11658_1#81,PNI0214,1,2
11791_1#59,PNI0246,19A,53
11658_1#82,PNI0242,38,38
11893_8#11,PNI0053,19F,1
11658_1#85,PNI0198,1,2
11658_1#86,PNI0231,23F,113
11658_1#87,PNI0286,5,8
11658_1#89,PNI0252,13,413
11658_1#90,PNI0277,1,2
11658_1#91,PNI0275,5,8
11791_1#61,PNI0047,23F,94
11658_1#92,PNI0258,5,8
11657_8#1,4793_00,18C,50
11679_1#1,3049_03,3,12
11657_8#2,5779_99,23A,5
11658_8#1,4754_99,3,12
11657_8#3,2010220088,7F,15
11657_8#4,2009209148,19A,1
11657_8#5,2009210875,7F,15
11658_2#96,2009210231,7F,15
11511_8#4,2009214138,19A,1
11679_1#3,2009209968,19A,1
11657_4#2,2009212654,7F,15
11511_8#5,2009212746,7F,15
11679_1#5,2009214049,19A,4
11679_1#7,2009215714,7F,15
11658_2#95,2009215863,12F,55
11893_8#12,2009215889,9N,32
11657_4#4,2009215893,7F,15
11511_8#9,2009216796,19A,1
11657_4#5,2009219217,22F,19
11511_8#10,2009217657,7F,15
11679_1#10,2009217662,19A,4
11893_8#13,2009218325,19A,4
11657_4#9,2009218376,9V,6
11679_1#12,2009218384,9V,6
11679_1#13,2009218395,19A,1
11658_8#2,2009219991,7F,15
11657_4#11,2010200701,22F,19
11658_2#94,2010200609,19A,27
11679_1#14,2010204328,19A,4
11657_4#14,2010206305,1,31
11679_1#15,2010206332,7F,15
11657_8#9,2010205421,19A,4
11511_8#14,2010206278,19A,6
11511_8#15,2010207747,7F,15
11511_8#16,2010205337,23B,7
11658_2#93,2010208312,23B,5
11679_1#16,2010220285,7F,15
11679_1#19,2010223357,38,38
11679_1#20,2010216155,17F,49
11658_2#92,2010216179,19A,4
11657_8#12,2010216214,19A,4
11679_1#21,2010216259,7F,15
11679_1#22,2010216272,22F,19
11679_1#23,2010216283,15BC,11
11658_2#89,2009205598,13,323
11679_1#27,2010209958,19A,1
11657_4#23,2010208344,1,2
11658_2#88,2010208390,7F,15
11657_4#24,2010208391,19A,27
11511_8#21,2010208449,22F,19
11511_8#22,2010208464,19A,27
11657_8#13,2010216340,19A,1
11679_1#28,2010220049,19A,1
11658_2#86,2010220061,7F,15
11511_8#23,2010220066,12F,32
11679_1#29,2010220067,19A,27
11511_8#24,2010220077,7F,15
11511_8#25,2010220093,7F,15
11657_8#14,2010220100,19A,1
11657_8#15,2010220104,33F,3
11657_4#27,2009210864,19A,1
11511_8#26,2009209134,19A,6
11658_8#3,2009209140,33F,3
11511_8#27,2009210878,22F,19
11657_4#30,2009210885,19A,1
11658_2#85,2009210907,21,11
11893_8#14,2009210908,19A,97
11511_8#29,2009210924,22F,19
11511_8#30,2009210929,38,38
11893_8#15,2009210936,19A,1
11657_8#17,2009210937,19A,4
11511_8#32,2009210939,22F,19
11658_2#84,2009206423,19A,1
11511_8#33,2009206436,19A,1
11511_8#34,2009206439,33F,3
11511_8#36,2009211969,3,12
11511_8#37,2009212151,19A,1
11679_1#33,2009212155,19A,4
11511_8#38,2009212157,19A,1
11511_8#39,2009214547,7F,15
11658_2#82,2009216160,7F,15
11511_8#40,2009214084,19A,1
11658_2#80,2009214100,22F,19
11511_8#41,2009214110,19A,4
11658_2#77,5904_99,23F,7
11511_8#44,5222_99,4,27
11658_2#76,2009214180,7F,15
11658_2#75,2009214185,19F,1
11679_1#36,2009216993,6C,89
11658_2#74,2009209868,19A,1
11657_4#36,2009211089,19A,27
11658_2#72,2009211095,19A,1
11658_2#71,2009211102,7F,15
11511_8#46,2009211109,19A,27
11511_8#47,2009211113,8,98
11658_2#68,2009211142,7F,15
11657_8#20,2009211232,6C,76
11657_4#37,2009211239,15A,9
11657_4#38,2009211240,6C,89
11657_8#21,2009211242,16F,135
11658_2#67,2009211248,19A,4
11679_1#37,2009211258,19A,10
11658_2#66,2009211285,19A,1
11511_8#48,2009211298,19A,1
11657_4#40,2009211299,19A,1
11679_1#38,2009212648,19A,324
11679_1#39,2009212708,3,12
11657_4#41,2009212727,7F,15
11657_8#23,2009212753,7F,15
11679_1#40,2009212769,7F,15
11657_8#25,2009212800,19A,1
11658_2#64,2009212813,7F,15
11658_2#62,2009212842,22F,19
11658_8#4,2009212862,33F,3
11679_1#43,2009213981,19A,16
11657_4#42,2009214002,22F,19
11679_1#45,2009214014,15BC,6
11658_2#60,2009214041,19A,1
11657_8#27,2009214056,19A,4
11658_2#56,2009214077,22F,19
11657_8#28,2009215629,6C,13
11657_4#49,2009215630,19A,6
11657_4#50,2009215639,7F,15
11511_8#53,2009215659,19A,4
11679_1#51,2009215660,12F,32
11657_4#51,2009215663,8,98
11657_8#29,2009215690,33F,3
11511_8#54,2009215693,19A,1
11679_1#52,2009215701,19A,4
11658_2#54,2009215718,22F,19
11657_8#30,2009215743,33F,3
11679_1#53,2009215771,19A,1
11822_8#79,2009215804,15BC,132
11657_4#52,2009215833,19A,16
11679_1#54,2009215888,9N,16
11657_4#53,2009215894,19A,1
11657_4#55,2009215906,19A,1
11657_8#32,2009216680,3,12
11511_8#55,2009216681,7F,15
11511_8#56,2009216712,19A,4
11658_2#51,2009216718,1,31
11511_8#57,2009216731,19A,1
11657_4#56,2009216744,7F,15
11657_4#57,2009216752,22F,19
11511_8#58,2009216784,15BC,4
11657_8#33,2009216788,19A,4
11658_2#50,2009216816,15BC,4
11511_8#59,2009218018,19A,1
11511_8#61,2009219216,19A,6
11511_8#62,2009217627,7F,15
11657_4#59,2009217629,7F,15
11658_2#49,2009217663,19A,4
11657_8#34,PATH2196,14,6
11679_1#57,PATH2197,14,6
11679_1#58,PATH2199,19F,1
11657_8#35,PATH2200,23F,6
11657_8#36,PATH2203,14,6
11657_8#37,PATH2205,34,45
11657_8#38,PATH2206,24,295
11657_8#39,PATH2207,14,6
11657_8#40,PATH2208,14,6
11679_1#59,PATH2209,19F,44
11679_1#60,PATH2211,6A,105
11679_1#61,PATH2212,14,6
11658_8#7,PATH2213,6B,105
11679_1#62,PATH2214,19F,1
11658_2#46,PATH2215,4,27
11657_8#41,PATH2216,16F,158
11679_1#63,PATH2218,23F,14
11679_1#64,PATH2219,14,18
11658_2#44,PATH2220,14,18
11893_8#26,PATH2221,13,16
11658_2#42,PATH2222,9N,16
11658_2#41,PATH2223,6A,23
11658_2#40,PATH2224,15A,69
11658_2#39,PATH2225,6B,23
11511_8#64,PATH2226,14,6
11657_4#66,PATH2227,14,6
11511_8#66,PATH2229,6B,189
11658_2#38,PATH2230,6B,23
11658_2#37,PATH2231,6B,115
11657_4#67,PATH2232,19F,16
11511_8#67,PATH2233,6C,89
11657_4#68,PATH2235,19F,44
11657_4#69,PATH2236,6B,105
11657_8#42,PATH2239,6B,105
11658_2#33,PATH2240,6B,47
11511_8#68,PATH2244,23F,16
11511_8#69,PATH2251,6B,115
11679_1#69,PATH2252,14,6
11679_1#70,PATH2253,6B,105
11657_4#72,PATH2254,23A,7
11658_2#28,PATH2256,11A,11
11657_4#73,PATH2257,6B,105
11657_4#74,PATH2258,19F,1
11511_8#70,PATH2259,14,6
11657_4#75,PATH2260,14,6
11657_4#76,PATH2261,14,6
11658_2#27,PATH2262,15A,69
11511_8#71,PATH2263,6B,23
11657_4#77,PATH2264,14,6
11511_8#72,PATH2265,19A,10
11658_2#26,PATH2266,7F,32
11657_4#78,PATH2267,9V,6
11658_2#24,PATH2272,19F,1
11511_8#74,PATH2273,6B,23
11679_1#72,PATH2275,14,6
11657_4#81,PATH2277,18F,142
11657_4#82,PATH2278,19A,10
11822_8#80,PATH2279,14,6
11679_1#73,PATH2280,14,6
11658_2#23,PATH2281,34,322
11658_2#22,PATH2282,6B,321
11658_2#21,PATH2283,23F,14
11679_1#74,PATH2284,19F,1
11679_1#75,PATH2285,14,6
11658_8#8,PATH2288,24,295
11657_4#83,PATH2290,6B,23
11657_4#84,PATH2291,14,6
11658_2#19,PATH2294,19A,1
11657_4#85,PATH2295,19A,10
11679_1#79,PATH2297,14,6
