OD600,RMV8,RMV8,RMV8,RMV8,RMV8_1MMC,RMV8_1MMC,RMV8_1MMC,RMV8_1MMC,RMV8_2MMC,RMV8_2MMC,RMV8_2MMC,RMV8_2MMC,RMV8_hybrid,RMV8_hybrid,RMV8_hybrid,RMV8_hybrid,RMV8_hybrid_1MMC,RMV8_hybrid_1MMC,RMV8_hybrid_1MMC,RMV8_hybrid_1MMC,RMV8_hybrid_2MMC,RMV8_hybrid_2MMC,RMV8_hybrid_2MMC,RMV8_hybrid_2MMC
00:00:00,0.272,0.287,0.288,0.286,0.261,0.266,0.268,0.266,0.238,0.248,0.243,0.248,0.24,0.24,0.246,0.252,0.238,0.247,0.246,0.247,0.228,0.232,0.23,0.221
00:30:00,0.404,0.418,0.438,0.433,0.316,0.371,0.358,0.34,0.251,0.251,0.259,0.235,0.213,0.25,0.273,0.26,0.215,0.244,0.223,0.244,0.155,0.175,0.163,0.153
01:00:00,0.482,0.533,0.513,0.514,0.307,0.311,0.312,0.311,0.149,0.157,0.155,0.16,0.422,0.42,0.435,0.442,0.329,0.343,0.339,0.331,0.231,0.232,0.227,0.223
01:30:00,0.581,0.629,0.62,0.619,0.377,0.377,0.383,0.373,0.143,0.147,0.149,0.147,0.563,0.561,0.579,0.583,0.422,0.443,0.439,0.429,0.271,0.273,0.273,0.268
02:00:00,0.599,0.651,0.653,0.65,0.439,0.452,0.448,0.446,0.157,0.164,0.161,0.159,0.593,0.596,0.62,0.617,0.519,0.549,0.545,0.532,0.332,0.338,0.335,0.341
02:30:00,0.608,0.67,0.674,0.669,0.452,0.459,0.46,0.456,0.187,0.19,0.187,0.175,0.603,0.617,0.641,0.638,0.544,0.57,0.569,0.562,0.4,0.415,0.41,0.388
03:00:00,0.612,0.673,0.678,0.671,0.454,0.459,0.46,0.456,0.223,0.228,0.222,0.205,0.612,0.626,0.652,0.65,0.553,0.576,0.576,0.563,0.451,0.469,0.445,0.431
03:30:00,0.622,0.679,0.683,0.673,0.455,0.458,0.461,0.454,0.272,0.299,0.284,0.25,0.623,0.631,0.659,0.656,0.556,0.577,0.574,0.564,0.466,0.483,0.469,0.441
04:00:00,0.622,0.672,0.678,0.671,0.45,0.456,0.458,0.453,0.311,0.336,0.31,0.282,0.62,0.632,0.657,0.656,0.547,0.57,0.571,0.564,0.46,0.482,0.473,0.461
04:30:00,0.634,0.668,0.671,0.664,0.446,0.451,0.451,0.448,0.321,0.339,0.342,0.28,0.632,0.628,0.657,0.656,0.541,0.566,0.562,0.555,0.451,0.472,0.463,0.476
05:00:00,0.629,0.66,0.668,0.663,0.441,0.444,0.444,0.442,0.323,0.339,0.335,0.276,0.638,0.63,0.66,0.658,0.543,0.56,0.56,0.55,0.445,0.461,0.454,0.468
05:30:00,0.616,0.651,0.663,0.658,0.432,0.437,0.436,0.437,0.328,0.34,0.342,0.275,0.636,0.625,0.659,0.656,0.53,0.551,0.548,0.543,0.435,0.453,0.443,0.454
06:00:00,0.623,0.643,0.659,0.653,0.428,0.431,0.431,0.431,0.331,0.341,0.341,0.275,0.629,0.622,0.657,0.656,0.519,0.539,0.538,0.534,0.427,0.447,0.437,0.45
06:30:00,0.618,0.635,0.652,0.649,0.42,0.422,0.422,0.423,0.329,0.342,0.336,0.276,0.62,0.623,0.659,0.655,0.511,0.529,0.53,0.521,0.416,0.435,0.424,0.43
07:00:00,0.613,0.631,0.647,0.643,0.413,0.415,0.415,0.414,0.328,0.338,0.333,0.28,0.615,0.622,0.661,0.657,0.501,0.519,0.52,0.514,0.406,0.422,0.413,0.413
07:30:00,0.62,0.622,0.64,0.637,0.406,0.409,0.407,0.408,0.325,0.338,0.33,0.275,0.619,0.619,0.655,0.654,0.49,0.509,0.51,0.504,0.394,0.41,0.399,0.412
08:00:00,0.603,0.616,0.633,0.632,0.4,0.402,0.395,0.398,0.322,0.333,0.329,0.291,0.614,0.618,0.657,0.652,0.479,0.498,0.497,0.49,0.382,0.398,0.387,0.399
08:30:00,0.605,0.608,0.626,0.623,0.388,0.392,0.387,0.387,0.319,0.331,0.328,0.276,0.62,0.617,0.652,0.649,0.467,0.487,0.486,0.479,0.37,0.385,0.374,0.393
09:00:00,0.608,0.6,0.618,0.615,0.379,0.381,0.374,0.378,0.314,0.324,0.324,0.26,0.619,0.614,0.651,0.647,0.456,0.473,0.475,0.469,0.361,0.377,0.365,0.385
09:30:00,0.595,0.593,0.611,0.607,0.368,0.367,0.363,0.366,0.311,0.318,0.321,0.251,0.611,0.613,0.654,0.647,0.448,0.463,0.465,0.459,0.355,0.367,0.355,0.38
10:00:00,0.59,0.58,0.599,0.595,0.355,0.358,0.353,0.355,0.302,0.312,0.316,0.242,0.605,0.609,0.647,0.642,0.436,0.449,0.452,0.446,0.343,0.357,0.346,0.382
10:30:00,0.575,0.57,0.587,0.584,0.345,0.348,0.343,0.346,0.293,0.306,0.309,0.235,0.604,0.604,0.646,0.64,0.423,0.439,0.441,0.434,0.334,0.347,0.336,0.379
11:00:00,0.577,0.558,0.575,0.57,0.335,0.335,0.332,0.334,0.288,0.296,0.302,0.229,0.612,0.6,0.641,0.634,0.409,0.424,0.427,0.421,0.324,0.336,0.328,0.388
11:30:00,0.569,0.548,0.563,0.557,0.321,0.322,0.319,0.325,0.278,0.289,0.29,0.222,0.601,0.598,0.638,0.632,0.396,0.411,0.415,0.41,0.316,0.328,0.317,0.389
12:00:00,0.567,0.536,0.55,0.547,0.313,0.314,0.307,0.31,0.269,0.28,0.283,0.215,0.604,0.592,0.631,0.625,0.383,0.398,0.401,0.397,0.305,0.313,0.309,0.386
12:30:00,0.544,0.523,0.533,0.527,0.302,0.304,0.298,0.3,0.26,0.272,0.276,0.209,0.595,0.585,0.624,0.62,0.37,0.385,0.39,0.383,0.294,0.305,0.299,0.387
13:00:00,0.53,0.509,0.52,0.516,0.292,0.293,0.289,0.289,0.25,0.263,0.267,0.206,0.587,0.579,0.615,0.61,0.357,0.371,0.375,0.371,0.285,0.296,0.29,0.387
13:30:00,0.519,0.495,0.506,0.501,0.282,0.284,0.279,0.281,0.242,0.255,0.26,0.198,0.572,0.573,0.609,0.602,0.344,0.358,0.363,0.36,0.277,0.285,0.282,0.371
14:00:00,0.498,0.482,0.49,0.486,0.272,0.272,0.268,0.269,0.233,0.247,0.252,0.192,0.568,0.565,0.599,0.595,0.331,0.346,0.351,0.347,0.265,0.278,0.27,0.35
14:30:00,0.484,0.469,0.477,0.474,0.263,0.263,0.258,0.26,0.226,0.239,0.243,0.186,0.557,0.556,0.592,0.587,0.321,0.336,0.338,0.336,0.256,0.27,0.263,0.33
15:00:00,0.469,0.456,0.462,0.46,0.255,0.256,0.249,0.251,0.218,0.231,0.234,0.182,0.552,0.545,0.581,0.577,0.311,0.325,0.33,0.326,0.249,0.261,0.257,0.313
15:30:00,0.449,0.444,0.447,0.447,0.245,0.247,0.242,0.242,0.209,0.225,0.227,0.178,0.545,0.535,0.568,0.563,0.302,0.316,0.319,0.315,0.243,0.254,0.247,0.297
16:00:00,0.434,0.43,0.434,0.436,0.239,0.238,0.234,0.233,0.204,0.218,0.22,0.175,0.532,0.52,0.552,0.548,0.292,0.305,0.309,0.306,0.235,0.244,0.24,0.288
16:30:00,0.419,0.415,0.425,0.424,0.233,0.23,0.226,0.226,0.195,0.209,0.213,0.17,0.519,0.507,0.535,0.531,0.282,0.297,0.299,0.295,0.227,0.234,0.233,0.279
17:00:00,0.402,0.402,0.416,0.413,0.228,0.226,0.222,0.223,0.188,0.204,0.207,0.171,0.506,0.493,0.519,0.516,0.276,0.289,0.291,0.288,0.221,0.229,0.228,0.269
17:30:00,0.391,0.389,0.4,0.398,0.221,0.218,0.214,0.216,0.184,0.199,0.201,0.168,0.488,0.475,0.501,0.497,0.269,0.28,0.282,0.279,0.216,0.223,0.222,0.26
18:00:00,0.38,0.379,0.39,0.389,0.219,0.216,0.213,0.215,0.178,0.195,0.198,0.164,0.474,0.46,0.485,0.479,0.264,0.274,0.275,0.275,0.211,0.216,0.219,0.256
18:30:00,0.366,0.367,0.378,0.375,0.213,0.212,0.211,0.213,0.177,0.19,0.192,0.164,0.452,0.444,0.466,0.463,0.259,0.269,0.269,0.271,0.208,0.211,0.214,0.249
19:00:00,0.352,0.354,0.365,0.364,0.211,0.21,0.208,0.209,0.17,0.185,0.188,0.163,0.435,0.425,0.448,0.443,0.256,0.263,0.263,0.262,0.206,0.208,0.209,0.244
19:30:00,0.348,0.347,0.356,0.352,0.21,0.206,0.207,0.206,0.169,0.181,0.186,0.161,0.416,0.411,0.431,0.426,0.252,0.259,0.261,0.257,0.201,0.203,0.206,0.242
20:00:00,0.338,0.337,0.347,0.346,0.209,0.205,0.205,0.203,0.166,0.179,0.182,0.158,0.397,0.396,0.414,0.41,0.246,0.255,0.257,0.252,0.197,0.2,0.202,0.239
