genome,CIPhR
9953_7_32,CIPhR
9789_5_49,CIPhR
9789_4_80,CIPhR
9789_2_81,CIPhR
9716_7_39,CIPhR
7622_5_89,CIPhR
7622_5_63,CIPhR
7622_4_42,CIPhR
7622_4_3,CIPhR
7622_4_33,CIPhR
7622_3_94,CIPhR
7622_3_67,CIPhR
7622_2_39,CIPhR
7622_2_35,CIPhR
7553_6_3,CIPhR
7553_5_79,CIPhR
7553_4_36,CIPhR
7092_6_8,CIPhR
7054_6_22,CIPhR
7054_6_16,CIPhR
7038_8_36,CIPhR
7038_6_9,CIPhR
7038_6_19,CIPhR
7038_4_2,CIPhR
7004_8_93,CIPhR
7004_6_37,CIPhR
7004_6_26,CIPhR
7004_5_9,CIPhR
7004_5_8,CIPhR
7004_5_10,CIPhR
7001_2_6,CIPhR
7001_2_19,CIPhR
7001_2_12,CIPhR
7001_1_2,CIPhR
6999_7_11,CIPhR
6999_5_21,CIPhR
6999_4_7,CIPhR
6999_4_2,CIPhR
6999_3_23,CIPhR
6999_2_12,CIPhR
6999_1_9,CIPhR
6999_1_14,CIPhR
6983_8_78,CIPhR
6983_7_58,CIPhR
6983_6_35,CIPhR
6983_5_2,CIPhR
6983_4_91,CIPhR
6983_4_89,CIPhR
6972_3_10,CIPhR
6952_7_23,CIPhR
6952_7_1,CIPhR
6949_4_20,CIPhR
6949_3_23,CIPhR
6949_3_17,CIPhR
6949_2_20,CIPhR
6949_1_4,CIPhR
6949_1_13,CIPhR
6949_1_12,CIPhR
6938_8_4,CIPhR
6938_7_23,CIPhR
6938_7_22,CIPhR
6938_6_12,CIPhR
6938_5_5,CIPhR
6938_3_21,CIPhR
6925_8_20,CIPhR
6925_6_6,CIPhR
6925_6_22,CIPhR
6925_6_14,CIPhR
6925_6_10,CIPhR
6925_5_12,CIPhR
6925_1_67,CIPhR
6925_1_50,CIPhR
6899_7_12,CIPhR
6871_2_14,CIPhR
6840_1_15,CIPhR
6830_3_20,CIPhR
6823_7_9,CIPhR
6823_7_15,CIPhR
6823_4_22,CIPhR
6823_3_13,CIPhR
6807_3_21,CIPhR
6807_2_17,CIPhR
6805_7_16,CIPhR
6805_6_14,CIPhR
6805_5_11,CIPhR
6805_4_8,CIPhR
6775_1_2,CIPhR
6755_5_10,CIPhR
6755_3_2,CIPhR
6753_4_22,CIPhR
6753_1_3,CIPhR
6731_6_12,CIPhR
6731_5_17,CIPhR
6710_7_24,CIPhR
6680_5_8,CIPhR
6664_1_17,CIPhR
6631_6_15,CIPhR
6570_1_16,CIPhR
6512_6_21,CIPhR
6512_6_13,CIPhR
6512_5_13,CIPhR
6512_4_19,CIPhR
6512_3_8,CIPhR
