OD600,control,control,control,1mM_IPTG,1mM_IPTG,1mM_IPTG,3mM_IPTG,3mM_IPTG,3mM_IPTG,6mM_IPTG,6mM_IPTG,6mM_IPTG
00:00:00,0.115,0.128,0.125,0.128,0.123,0.125,0.121,0.12,0.123,0.124,0.121,0.122
00:30:00,0.141,0.156,0.156,0.167,0.151,0.15,0.146,0.145,0.149,0.153,0.15,0.153
01:00:00,0.176,0.193,0.192,0.205,0.19,0.189,0.187,0.185,0.188,0.195,0.19,0.196
01:30:00,0.231,0.249,0.249,0.262,0.248,0.249,0.246,0.248,0.249,0.255,0.251,0.255
02:00:00,0.297,0.324,0.318,0.325,0.33,0.322,0.321,0.319,0.329,0.329,0.316,0.329
02:30:00,0.375,0.397,0.396,0.403,0.394,0.393,0.392,0.387,0.399,0.406,0.4,0.405
03:00:00,0.389,0.411,0.409,0.42,0.41,0.4,0.395,0.393,0.398,0.42,0.41,0.413
03:30:00,0.377,0.421,0.425,0.439,0.436,0.426,0.424,0.418,0.427,0.44,0.406,0.415
04:00:00,0.371,0.44,0.435,0.445,0.435,0.427,0.424,0.418,0.426,0.438,0.412,0.412
04:30:00,0.392,0.434,0.428,0.434,0.426,0.421,0.42,0.414,0.424,0.441,0.425,0.415
05:00:00,0.42,0.437,0.437,0.436,0.429,0.423,0.422,0.416,0.428,0.438,0.429,0.407
05:30:00,0.44,0.432,0.425,0.422,0.419,0.418,0.417,0.409,0.421,0.428,0.443,0.413
06:00:00,0.451,0.433,0.43,0.425,0.422,0.417,0.416,0.411,0.422,0.426,0.446,0.405
06:30:00,0.448,0.427,0.428,0.421,0.419,0.414,0.414,0.411,0.422,0.426,0.46,0.431
07:00:00,0.453,0.425,0.427,0.421,0.417,0.416,0.413,0.408,0.42,0.422,0.459,0.424
07:30:00,0.435,0.43,0.435,0.426,0.424,0.418,0.418,0.408,0.42,0.423,0.458,0.448
08:00:00,0.444,0.424,0.43,0.417,0.412,0.408,0.409,0.4,0.414,0.415,0.456,0.437
08:30:00,0.441,0.417,0.418,0.413,0.406,0.403,0.404,0.395,0.409,0.412,0.457,0.453
09:00:00,0.449,0.418,0.42,0.407,0.403,0.398,0.4,0.393,0.406,0.409,0.452,0.432
09:30:00,0.451,0.42,0.418,0.406,0.403,0.4,0.4,0.392,0.406,0.407,0.457,0.44
10:00:00,0.456,0.414,0.414,0.403,0.397,0.39,0.394,0.383,0.399,0.406,0.461,0.429
10:30:00,0.43,0.411,0.405,0.396,0.392,0.386,0.388,0.381,0.398,0.403,0.458,0.438
11:00:00,0.449,0.406,0.396,0.389,0.384,0.377,0.383,0.377,0.391,0.398,0.458,0.412
11:30:00,0.448,0.395,0.393,0.38,0.375,0.371,0.374,0.371,0.388,0.39,0.457,0.425
12:00:00,0.438,0.389,0.388,0.375,0.372,0.37,0.373,0.366,0.381,0.386,0.455,0.412
12:30:00,0.434,0.381,0.378,0.372,0.365,0.36,0.367,0.361,0.376,0.382,0.46,0.427
13:00:00,0.439,0.372,0.371,0.367,0.357,0.354,0.359,0.352,0.369,0.375,0.453,0.42
13:30:00,0.424,0.366,0.368,0.36,0.354,0.349,0.354,0.347,0.364,0.37,0.453,0.402
14:00:00,0.427,0.361,0.358,0.352,0.342,0.34,0.345,0.34,0.358,0.366,0.451,0.423
14:30:00,0.418,0.357,0.35,0.341,0.336,0.333,0.338,0.334,0.352,0.356,0.448,0.413
15:00:00,0.418,0.352,0.343,0.336,0.327,0.326,0.332,0.327,0.343,0.353,0.448,0.41
15:30:00,0.412,0.345,0.339,0.324,0.322,0.317,0.325,0.318,0.336,0.345,0.446,0.393
16:00:00,0.409,0.337,0.328,0.319,0.311,0.309,0.314,0.309,0.328,0.34,0.445,0.413
16:30:00,0.404,0.333,0.32,0.309,0.302,0.299,0.307,0.303,0.321,0.333,0.44,0.405
17:00:00,0.406,0.323,0.309,0.3,0.292,0.289,0.295,0.29,0.309,0.325,0.435,0.393
17:30:00,0.408,0.319,0.298,0.289,0.281,0.279,0.287,0.282,0.302,0.314,0.429,0.41
18:00:00,0.403,0.311,0.293,0.279,0.271,0.269,0.279,0.274,0.292,0.306,0.424,0.396
18:30:00,0.385,0.302,0.282,0.269,0.261,0.26,0.268,0.265,0.28,0.296,0.417,0.402
19:00:00,0.387,0.295,0.272,0.258,0.251,0.248,0.257,0.255,0.274,0.29,0.412,0.392
19:30:00,0.388,0.29,0.262,0.248,0.241,0.241,0.247,0.244,0.262,0.282,0.407,0.389
