OD600,control,control,control,5ng_ul_MMC,5ng_ul_MMC,5ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.145,0.158,0.156,0.145,0.159,0.161,0.147,0.151,0.147
00:30:00,0.07,0.192,0.218,0.202,0.218,0.226,0.218,0.227,0.198
01:00:00,0.291,0.304,0.302,0.287,0.306,0.306,0.268,0.274,0.269
01:30:00,0.42,0.437,0.437,0.414,0.44,0.439,0.377,0.38,0.367
02:00:00,0.383,0.432,0.443,0.419,0.449,0.455,0.408,0.413,0.384
02:30:00,0.567,0.596,0.595,0.559,0.586,0.593,0.513,0.516,0.494
03:00:00,0.593,0.643,0.64,0.616,0.648,0.658,0.631,0.635,0.609
03:30:00,0.611,0.661,0.652,0.617,0.659,0.661,0.633,0.639,0.626
04:00:00,0.618,0.658,0.644,0.604,0.645,0.645,0.625,0.632,0.615
04:30:00,0.614,0.646,0.628,0.592,0.631,0.632,0.617,0.616,0.609
05:00:00,0.628,0.654,0.634,0.591,0.633,0.627,0.602,0.607,0.604
05:30:00,0.65,0.688,0.67,0.624,0.664,0.638,0.601,0.612,0.608
06:00:00,0.652,0.73,0.704,0.655,0.707,0.669,0.63,0.638,0.637
06:30:00,0.669,0.737,0.73,0.685,0.735,0.701,0.662,0.668,0.663
07:00:00,0.666,0.717,0.734,0.703,0.739,0.717,0.676,0.691,0.677
07:30:00,0.663,0.709,0.727,0.707,0.743,0.728,0.686,0.7,0.685
08:00:00,0.673,0.702,0.736,0.7,0.746,0.735,0.689,0.704,0.694
08:30:00,0.656,0.689,0.737,0.7,0.743,0.738,0.678,0.698,0.693
09:00:00,0.647,0.682,0.733,0.699,0.738,0.732,0.679,0.7,0.688
09:30:00,0.661,0.677,0.73,0.691,0.736,0.73,0.671,0.693,0.685
10:00:00,0.661,0.673,0.729,0.693,0.735,0.732,0.666,0.691,0.679
10:30:00,0.657,0.671,0.721,0.695,0.733,0.728,0.668,0.694,0.687
11:00:00,0.653,0.665,0.719,0.693,0.735,0.728,0.671,0.694,0.69
11:30:00,0.671,0.66,0.718,0.693,0.73,0.726,0.67,0.692,0.685
12:00:00,0.662,0.659,0.713,0.686,0.729,0.721,0.663,0.684,0.681
12:30:00,0.635,0.654,0.709,0.684,0.726,0.721,0.662,0.684,0.679
13:00:00,0.645,0.645,0.708,0.679,0.722,0.717,0.657,0.683,0.673
13:30:00,0.639,0.643,0.704,0.677,0.718,0.716,0.658,0.679,0.664
14:00:00,0.637,0.641,0.697,0.67,0.714,0.713,0.656,0.678,0.657
14:30:00,0.619,0.634,0.693,0.665,0.709,0.707,0.65,0.672,0.653
15:00:00,0.609,0.627,0.686,0.658,0.702,0.7,0.644,0.667,0.652
15:30:00,0.621,0.62,0.677,0.648,0.694,0.694,0.639,0.662,0.65
16:00:00,0.609,0.611,0.668,0.635,0.688,0.688,0.631,0.653,0.648
16:30:00,0.591,0.603,0.659,0.625,0.679,0.68,0.623,0.649,0.644
17:00:00,0.595,0.591,0.649,0.616,0.67,0.67,0.615,0.642,0.638
17:30:00,0.581,0.584,0.64,0.604,0.66,0.663,0.609,0.634,0.632
18:00:00,0.582,0.583,0.636,0.596,0.651,0.655,0.602,0.627,0.626
18:30:00,0.573,0.569,0.627,0.583,0.639,0.647,0.594,0.622,0.618
19:00:00,0.565,0.563,0.616,0.567,0.625,0.63,0.586,0.61,0.609
19:30:00,0.552,0.55,0.603,0.553,0.609,0.618,0.569,0.598,0.591
20:00:00,0.527,0.537,0.595,0.538,0.597,0.604,0.553,0.582,0.574
20:30:00,0.522,0.528,0.582,0.522,0.581,0.589,0.531,0.562,0.553
