OD600,control,control,control,5ng_ul_MMC,5ng_ul_MMC,5ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.094,0.102,0.101,0.086,0.092,0.092,0.09,0.097,0.095
00:30:00,0.067,0.119,0.105,0.084,0.082,0.1,0.076,0.136,0.11
01:00:00,0.13,0.141,0.138,0.12,0.127,0.129,0.129,0.133,0.14
01:30:00,0.164,0.181,0.179,0.158,0.165,0.166,0.16,0.169,0.18
02:00:00,0.113,0.16,0.158,0.141,0.137,0.158,0.135,0.19,0.148
02:30:00,0.216,0.252,0.245,0.209,0.219,0.222,0.213,0.217,0.219
03:00:00,0.327,0.352,0.349,0.296,0.304,0.297,0.274,0.292,0.295
03:30:00,0.437,0.485,0.479,0.392,0.399,0.4,0.371,0.376,0.357
04:00:00,0.532,0.602,0.595,0.497,0.505,0.503,0.483,0.468,0.447
04:30:00,0.553,0.606,0.606,0.549,0.57,0.574,0.568,0.562,0.558
05:00:00,0.56,0.634,0.631,0.571,0.597,0.605,0.577,0.58,0.563
05:30:00,0.592,0.651,0.647,0.581,0.594,0.606,0.573,0.594,0.578
06:00:00,0.623,0.665,0.66,0.59,0.611,0.614,0.574,0.586,0.575
06:30:00,0.614,0.66,0.658,0.59,0.609,0.617,0.573,0.589,0.578
07:00:00,0.638,0.658,0.655,0.586,0.612,0.615,0.574,0.586,0.575
07:30:00,0.644,0.655,0.649,0.581,0.605,0.614,0.57,0.585,0.575
08:00:00,0.635,0.65,0.642,0.572,0.597,0.607,0.562,0.579,0.567
08:30:00,0.619,0.648,0.636,0.566,0.592,0.6,0.554,0.572,0.558
09:00:00,0.622,0.646,0.632,0.56,0.588,0.593,0.546,0.561,0.552
09:30:00,0.627,0.642,0.627,0.554,0.582,0.588,0.538,0.555,0.542
10:00:00,0.628,0.639,0.626,0.55,0.577,0.585,0.535,0.547,0.536
10:30:00,0.631,0.633,0.623,0.547,0.573,0.58,0.529,0.543,0.531
11:00:00,0.61,0.628,0.619,0.541,0.567,0.577,0.524,0.533,0.525
11:30:00,0.611,0.624,0.613,0.532,0.561,0.568,0.517,0.528,0.516
12:00:00,0.61,0.619,0.61,0.528,0.555,0.565,0.511,0.52,0.509
12:30:00,0.625,0.613,0.605,0.521,0.549,0.557,0.505,0.515,0.501
13:00:00,0.618,0.609,0.602,0.519,0.543,0.554,0.496,0.507,0.496
13:30:00,0.606,0.604,0.599,0.51,0.54,0.547,0.491,0.498,0.49
14:00:00,0.605,0.6,0.594,0.505,0.533,0.541,0.486,0.493,0.484
14:30:00,0.609,0.59,0.585,0.496,0.523,0.533,0.475,0.484,0.478
15:00:00,0.594,0.587,0.579,0.488,0.517,0.529,0.469,0.476,0.468
15:30:00,0.59,0.579,0.571,0.481,0.51,0.519,0.462,0.47,0.459
16:00:00,0.597,0.572,0.567,0.473,0.5,0.512,0.451,0.457,0.452
16:30:00,0.59,0.561,0.559,0.461,0.491,0.504,0.442,0.449,0.442
17:00:00,0.573,0.558,0.55,0.453,0.481,0.491,0.432,0.442,0.431
17:30:00,0.576,0.543,0.542,0.44,0.471,0.482,0.421,0.43,0.424
18:00:00,0.549,0.534,0.535,0.431,0.46,0.469,0.409,0.418,0.413
18:30:00,0.56,0.524,0.526,0.419,0.449,0.459,0.397,0.404,0.404
19:00:00,0.535,0.512,0.512,0.405,0.433,0.444,0.383,0.394,0.39
19:30:00,0.512,0.504,0.502,0.389,0.416,0.43,0.371,0.379,0.379
20:00:00,0.507,0.49,0.49,0.376,0.403,0.413,0.36,0.365,0.365
20:30:00,0.483,0.478,0.477,0.36,0.388,0.399,0.345,0.353,0.35
