OD600,control,control,control,MMC,MMC,MMC,control+GD,control+GD,control+GD,MMC+GD,MMC+GD,MMC+GD,control,control,control,MMC,MMC,MMC,control+GD,control+GD,control+GD,MMC+GD,MMC+GD,MMC+GD
00:00:00,0.188,0.193,0.202,0.178,0.194,0.194,0.205,0.214,0.21,0.192,0.186,0.198,0.125,0.126,0.128,0.129,0.131,0.131,0.135,0.135,0.13,0.135,0.135,0.131
00:30:00,0.221,0.224,0.236,0.199,0.212,0.214,0.234,0.244,0.239,0.211,0.203,0.219,0.155,0.153,0.153,0.144,0.148,0.149,0.161,0.158,0.154,0.149,0.154,0.15
01:00:00,0.274,0.273,0.292,0.224,0.235,0.234,0.292,0.302,0.292,0.239,0.227,0.242,0.212,0.214,0.21,0.175,0.179,0.182,0.217,0.216,0.214,0.185,0.188,0.184
01:30:00,0.343,0.342,0.356,0.265,0.278,0.279,0.361,0.371,0.359,0.279,0.265,0.283,0.307,0.299,0.302,0.239,0.242,0.241,0.305,0.305,0.3,0.243,0.251,0.249
02:00:00,0.413,0.408,0.422,0.319,0.338,0.34,0.428,0.436,0.426,0.327,0.316,0.334,0.412,0.411,0.414,0.321,0.326,0.326,0.425,0.428,0.413,0.323,0.33,0.318
02:30:00,0.417,0.415,0.426,0.369,0.396,0.4,0.422,0.439,0.427,0.37,0.36,0.378,0.448,0.453,0.46,0.382,0.398,0.39,0.479,0.469,0.461,0.391,0.391,0.381
03:00:00,0.41,0.42,0.425,0.371,0.393,0.398,0.42,0.437,0.426,0.374,0.367,0.387,0.46,0.47,0.477,0.414,0.431,0.423,0.499,0.492,0.478,0.427,0.429,0.412
03:30:00,0.398,0.419,0.419,0.363,0.389,0.385,0.416,0.431,0.42,0.367,0.358,0.377,0.455,0.475,0.5,0.447,0.463,0.452,0.51,0.506,0.493,0.438,0.436,0.411
04:00:00,0.396,0.416,0.413,0.352,0.375,0.377,0.41,0.426,0.415,0.356,0.347,0.371,0.427,0.482,0.506,0.451,0.464,0.452,0.509,0.509,0.496,0.44,0.422,0.393
04:30:00,0.4,0.415,0.408,0.334,0.363,0.369,0.404,0.418,0.41,0.348,0.333,0.358,0.447,0.499,0.503,0.448,0.459,0.451,0.508,0.509,0.501,0.445,0.421,0.388
05:00:00,0.403,0.429,0.405,0.318,0.353,0.351,0.393,0.412,0.403,0.329,0.317,0.34,0.452,0.5,0.499,0.434,0.441,0.435,0.506,0.506,0.495,0.425,0.4,0.368
05:30:00,0.409,0.484,0.426,0.305,0.352,0.353,0.391,0.405,0.398,0.318,0.303,0.333,0.452,0.498,0.498,0.428,0.442,0.442,0.507,0.504,0.499,0.436,0.432,0.365
06:00:00,0.425,0.487,0.484,0.305,0.369,0.373,0.385,0.406,0.408,0.315,0.296,0.314,0.483,0.493,0.492,0.413,0.425,0.42,0.492,0.489,0.49,0.413,0.426,0.353
06:30:00,0.433,0.472,0.512,0.315,0.388,0.397,0.387,0.415,0.427,0.31,0.286,0.31,0.51,0.492,0.489,0.403,0.412,0.41,0.489,0.484,0.489,0.408,0.416,0.351
07:00:00,0.451,0.457,0.518,0.342,0.415,0.415,0.406,0.431,0.448,0.312,0.283,0.305,0.498,0.491,0.484,0.397,0.405,0.407,0.489,0.485,0.49,0.41,0.416,0.38
07:30:00,0.455,0.452,0.512,0.374,0.419,0.417,0.425,0.441,0.453,0.315,0.289,0.306,0.501,0.491,0.48,0.388,0.392,0.39,0.482,0.48,0.486,0.398,0.397,0.378
08:00:00,0.436,0.45,0.514,0.384,0.418,0.416,0.424,0.427,0.438,0.318,0.293,0.31,0.496,0.485,0.477,0.38,0.388,0.389,0.481,0.479,0.486,0.399,0.402,0.387
08:30:00,0.452,0.442,0.518,0.388,0.42,0.408,0.418,0.408,0.421,0.318,0.289,0.308,0.486,0.483,0.475,0.37,0.38,0.376,0.476,0.474,0.48,0.386,0.388,0.382
09:00:00,0.442,0.44,0.515,0.385,0.419,0.402,0.405,0.392,0.405,0.324,0.286,0.305,0.487,0.483,0.467,0.362,0.373,0.37,0.473,0.468,0.475,0.375,0.376,0.378
09:30:00,0.457,0.446,0.513,0.384,0.417,0.404,0.41,0.388,0.401,0.322,0.277,0.287,0.489,0.464,0.464,0.353,0.364,0.356,0.466,0.463,0.471,0.369,0.366,0.361
10:00:00,0.445,0.445,0.498,0.377,0.417,0.404,0.408,0.388,0.402,0.308,0.26,0.268,0.486,0.462,0.458,0.348,0.356,0.351,0.464,0.462,0.469,0.365,0.361,0.349
10:30:00,0.439,0.441,0.482,0.364,0.411,0.407,0.41,0.392,0.408,0.294,0.246,0.257,0.493,0.454,0.456,0.337,0.347,0.341,0.46,0.459,0.466,0.354,0.352,0.337
11:00:00,0.443,0.437,0.471,0.347,0.4,0.394,0.403,0.392,0.408,0.277,0.229,0.244,0.484,0.449,0.449,0.329,0.341,0.332,0.455,0.455,0.462,0.346,0.348,0.332
11:30:00,0.444,0.434,0.464,0.34,0.391,0.393,0.412,0.399,0.413,0.261,0.217,0.233,0.46,0.446,0.446,0.324,0.336,0.328,0.454,0.453,0.457,0.34,0.34,0.309
12:00:00,0.449,0.43,0.462,0.335,0.385,0.383,0.422,0.404,0.42,0.241,0.206,0.218,0.506,0.442,0.443,0.319,0.329,0.319,0.448,0.447,0.455,0.332,0.333,0.314
12:30:00,0.444,0.43,0.455,0.324,0.375,0.373,0.429,0.414,0.424,0.224,0.195,0.207,0.483,0.437,0.434,0.308,0.321,0.307,0.443,0.44,0.448,0.327,0.328,0.312
13:00:00,0.435,0.427,0.451,0.315,0.368,0.366,0.436,0.422,0.433,0.208,0.184,0.195,0.487,0.431,0.431,0.302,0.314,0.303,0.437,0.435,0.444,0.32,0.324,0.309
13:30:00,0.437,0.43,0.452,0.307,0.358,0.36,0.444,0.438,0.441,0.19,0.174,0.188,0.481,0.428,0.425,0.296,0.307,0.298,0.43,0.431,0.439,0.314,0.323,0.292
14:00:00,0.436,0.426,0.45,0.3,0.353,0.348,0.439,0.434,0.44,0.176,0.164,0.188,0.498,0.423,0.418,0.29,0.303,0.292,0.424,0.424,0.433,0.309,0.32,0.267
14:30:00,0.421,0.421,0.451,0.291,0.344,0.343,0.439,0.438,0.442,0.163,0.157,0.185,0.488,0.422,0.41,0.282,0.297,0.282,0.415,0.416,0.426,0.3,0.314,0.272
15:00:00,0.429,0.422,0.45,0.287,0.335,0.339,0.444,0.441,0.445,0.153,0.148,0.191,0.476,0.41,0.404,0.277,0.289,0.276,0.409,0.408,0.418,0.293,0.312,0.274
15:30:00,0.422,0.417,0.449,0.28,0.329,0.336,0.441,0.44,0.441,0.146,0.142,0.195,0.464,0.412,0.396,0.27,0.285,0.27,0.402,0.402,0.413,0.287,0.311,0.279
16:00:00,0.418,0.41,0.444,0.279,0.324,0.328,0.444,0.442,0.442,0.139,0.135,0.184,0.47,0.401,0.385,0.263,0.276,0.262,0.391,0.39,0.398,0.277,0.304,0.27
16:30:00,0.41,0.398,0.446,0.281,0.317,0.322,0.44,0.442,0.443,0.134,0.133,0.18,0.47,0.401,0.378,0.258,0.272,0.259,0.383,0.383,0.394,0.272,0.304,0.275
17:00:00,0.41,0.389,0.443,0.286,0.314,0.319,0.436,0.435,0.437,0.129,0.127,0.165,0.475,0.392,0.365,0.252,0.265,0.25,0.375,0.374,0.383,0.268,0.299,0.269
17:30:00,0.397,0.375,0.444,0.296,0.316,0.319,0.436,0.434,0.434,0.125,0.123,0.18,0.452,0.382,0.354,0.247,0.26,0.244,0.363,0.362,0.373,0.262,0.292,0.271
18:00:00,0.386,0.362,0.441,0.308,0.318,0.318,0.434,0.437,0.434,0.121,0.12,0.189,0.446,0.37,0.343,0.241,0.255,0.24,0.353,0.353,0.363,0.256,0.287,0.281
18:30:00,0.371,0.345,0.433,0.312,0.315,0.311,0.423,0.429,0.426,0.118,0.115,0.171,0.436,0.36,0.33,0.235,0.248,0.235,0.343,0.343,0.353,0.25,0.279,0.277
19:00:00,0.354,0.331,0.424,0.315,0.317,0.306,0.418,0.423,0.419,0.115,0.112,0.15,0.403,0.347,0.321,0.231,0.243,0.229,0.331,0.33,0.343,0.243,0.268,0.292
19:30:00,0.331,0.315,0.403,0.317,0.314,0.295,0.403,0.413,0.411,0.113,0.109,0.147,0.385,0.33,0.307,0.224,0.239,0.223,0.319,0.316,0.329,0.238,0.26,0.288
20:00:00,0.309,0.298,0.379,0.312,0.303,0.289,0.389,0.401,0.395,0.11,0.107,0.194,0.373,0.317,0.295,0.219,0.234,0.219,0.308,0.306,0.317,0.233,0.248,0.28
