OD600,RMV8,RMV8,RMV8,RMV8,RMV8_1MMC,RMV8_1MMC,RMV8_1MMC,RMV8_1MMC,RMV8_2MMC,RMV8_2MMC,RMV8_2MMC,RMV8_2MMC,RMV8_hybrid,RMV8_hybrid,RMV8_hybrid,RMV8_hybrid,RMV8_hybrid_1MMC,RMV8_hybrid_1MMC,RMV8_hybrid_1MMC,RMV8_hybrid_1MMC,RMV8_hybrid_2MMC,RMV8_hybrid_2MMC,RMV8_hybrid_2MMC,RMV8_hybrid_2MMC
00:00:00,0.126,0.134,0.137,0.134,0.12,0.128,0.128,0.128,0.126,0.125,0.124,0.129,0.121,0.114,0.118,0.12,0.118,0.119,0.117,0.119,0.139,0.118,0.128,0.12
00:30:00,0.18,0.187,0.189,0.186,0.169,0.177,0.173,0.173,0.177,0.177,0.174,0.184,0.167,0.165,0.17,0.174,0.169,0.177,0.171,0.172,0.171,0.168,0.162,0.156
00:40:00,0.202,0.223,0.248,0.246,0.229,0.233,0.251,0.21,0.233,0.237,0.249,0.251,0.205,0.189,0.227,0.244,0.191,0.231,0.183,0.222,0.203,0.213,0.207,0.177
01:00:00,0.256,0.265,0.274,0.272,0.249,0.267,0.265,0.253,0.248,0.247,0.248,0.247,0.24,0.245,0.251,0.255,0.243,0.248,0.246,0.245,0.235,0.228,0.227,0.226
01:30:00,0.345,0.385,0.417,0.405,0.331,0.34,0.336,0.286,0.27,0.266,0.286,0.275,0.378,0.36,0.427,0.43,0.371,0.404,0.362,0.376,0.334,0.333,0.284,0.249
02:00:00,0.482,0.517,0.521,0.527,0.402,0.417,0.419,0.401,0.314,0.311,0.312,0.309,0.466,0.471,0.489,0.485,0.423,0.434,0.433,0.433,0.367,0.36,0.361,0.351
02:30:00,0.534,0.577,0.585,0.581,0.475,0.49,0.494,0.483,0.411,0.392,0.395,0.391,0.536,0.549,0.571,0.578,0.539,0.559,0.544,0.551,0.483,0.491,0.488,0.45
03:00:00,0.549,0.599,0.609,0.603,0.484,0.503,0.509,0.496,0.438,0.436,0.433,0.426,0.559,0.575,0.607,0.603,0.557,0.576,0.567,0.57,0.522,0.54,0.535,0.496
03:30:00,0.566,0.612,0.62,0.612,0.493,0.513,0.5,0.511,0.442,0.427,0.436,0.434,0.576,0.6,0.627,0.618,0.574,0.591,0.58,0.586,0.538,0.557,0.546,0.507
04:00:00,0.573,0.618,0.623,0.617,0.477,0.504,0.503,0.508,0.442,0.438,0.434,0.434,0.585,0.606,0.63,0.623,0.576,0.588,0.576,0.584,0.534,0.549,0.549,0.495
