OD600,Col4,Col4,Col4,Col4,Col4,Col4,Col4_repcat,Col4_repcat,Col4_repcat,Col4_intcat,Col4_intcat,Col4_intcat,Col4_phageKO,Col4_phageKO,Col4_phageKO,Col4_lytAcat,Col4_lytAcat,Col4_lytAcat
05:00:00,0.036,0.04,0.031,0.023,0.025,0.026,0.043,0.049,0.042,0.057,0.068,0.064,0.064,0.068,0.094,0.04,0.089,0.048
05:30:00,0.053,0.061,0.048,0.036,0.038,0.04,0.068,0.073,0.063,0.085,0.107,0.099,0.099,0.118,0.165,0.065,0.135,0.072
06:00:00,0.08,0.092,0.07,0.054,0.056,0.06,0.099,0.11,0.096,0.128,0.158,0.151,0.168,0.201,0.275,0.1,0.201,0.104
06:30:00,0.118,0.137,0.102,0.082,0.086,0.092,0.149,0.174,0.146,0.199,0.242,0.229,0.276,0.333,0.432,0.148,0.3,0.152
07:00:00,0.164,0.2,0.147,0.125,0.131,0.138,0.234,0.278,0.23,0.317,0.381,0.352,0.422,0.461,0.498,0.228,0.448,0.239
07:30:00,0.223,0.286,0.213,0.188,0.194,0.205,0.365,0.411,0.349,0.443,0.47,0.463,0.453,0.49,0.536,0.355,0.513,0.359
08:00:00,0.302,0.375,0.313,0.267,0.277,0.288,0.45,0.461,0.446,0.495,0.523,0.524,0.493,0.569,0.595,0.459,0.574,0.419
08:30:00,0.39,0.411,0.414,0.354,0.369,0.365,0.513,0.525,0.506,0.572,0.559,0.577,0.613,0.625,0.64,0.512,0.615,0.539
09:00:00,0.466,0.465,0.464,0.425,0.451,0.442,0.592,0.578,0.579,0.601,0.594,0.609,0.636,0.645,0.663,0.582,0.635,0.612
09:30:00,0.514,0.503,0.503,0.465,0.487,0.482,0.628,0.607,0.611,0.605,0.607,0.618,0.657,0.665,0.671,0.606,0.633,0.633
10:00:00,0.524,0.53,0.537,0.505,0.531,0.519,0.644,0.62,0.631,0.6,0.602,0.613,0.663,0.67,0.68,0.624,0.631,0.632
10:30:00,0.537,0.54,0.541,0.509,0.546,0.527,0.647,0.619,0.639,0.585,0.594,0.606,0.664,0.672,0.686,0.623,0.615,0.621
11:00:00,0.533,0.54,0.556,0.513,0.551,0.528,0.644,0.612,0.627,0.579,0.572,0.589,0.659,0.674,0.689,0.615,0.606,0.611
11:30:00,0.522,0.537,0.555,0.513,0.55,0.525,0.637,0.611,0.622,0.559,0.563,0.579,0.658,0.672,0.688,0.608,0.601,0.605
