OD600,control,control,control,5ng_ul_MMC,5ng_ul_MMC,5ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC,10ng_ul_MMC
00:00:00,0.112,0.12,0.122,0.111,0.114,0.112,0.088,0.094,0.095
00:30:00,0.154,0.164,0.166,0.147,0.151,0.149,0.122,0.13,0.131
00:41:00,0.122,0.157,0.158,0.147,0.181,0.204,0.159,0.196,0.171
01:11:00,0.265,0.274,0.278,0.248,0.258,0.253,0.203,0.211,0.217
01:41:00,0.359,0.42,0.419,0.37,0.384,0.375,0.291,0.32,0.316
02:11:00,0.494,0.526,0.529,0.46,0.477,0.467,0.375,0.386,0.399
02:41:00,0.544,0.598,0.606,0.573,0.581,0.574,0.466,0.5,0.504
03:11:00,0.56,0.625,0.636,0.605,0.613,0.605,0.53,0.567,0.55
03:41:00,0.56,0.635,0.652,0.605,0.621,0.608,0.538,0.564,0.549
04:11:00,0.577,0.653,0.659,0.614,0.624,0.611,0.542,0.568,0.555
04:41:00,0.587,0.648,0.649,0.606,0.619,0.606,0.535,0.558,0.552
05:11:00,0.588,0.636,0.641,0.593,0.613,0.596,0.526,0.549,0.543
05:41:00,0.624,0.629,0.632,0.583,0.603,0.585,0.515,0.538,0.53
06:11:00,0.623,0.617,0.616,0.564,0.586,0.571,0.506,0.526,0.514
06:41:00,0.627,0.613,0.607,0.552,0.573,0.557,0.487,0.512,0.499
07:11:00,0.616,0.606,0.597,0.543,0.564,0.548,0.467,0.489,0.487
07:41:00,0.636,0.603,0.591,0.535,0.558,0.54,0.449,0.47,0.471
08:11:00,0.624,0.596,0.585,0.527,0.551,0.533,0.437,0.455,0.461
08:41:00,0.617,0.587,0.577,0.517,0.545,0.526,0.426,0.442,0.452
09:11:00,0.607,0.583,0.575,0.518,0.541,0.525,0.419,0.435,0.444
09:41:00,0.62,0.575,0.566,0.508,0.532,0.514,0.408,0.423,0.436
10:11:00,0.611,0.574,0.561,0.505,0.527,0.508,0.402,0.414,0.43
10:41:00,0.598,0.563,0.555,0.496,0.523,0.503,0.393,0.407,0.417
11:11:00,0.581,0.554,0.546,0.488,0.515,0.494,0.384,0.399,0.406
11:41:00,0.598,0.546,0.54,0.484,0.509,0.49,0.378,0.392,0.401
12:11:00,0.601,0.54,0.535,0.479,0.508,0.486,0.375,0.389,0.396
12:41:00,0.585,0.529,0.524,0.467,0.495,0.473,0.361,0.374,0.385
13:11:00,0.578,0.519,0.513,0.456,0.485,0.464,0.352,0.365,0.376
13:41:00,0.564,0.513,0.501,0.446,0.475,0.455,0.343,0.358,0.369
14:11:00,0.56,0.495,0.491,0.441,0.469,0.445,0.336,0.35,0.361
14:41:00,0.543,0.483,0.476,0.428,0.455,0.433,0.327,0.341,0.354
15:11:00,0.53,0.467,0.47,0.419,0.447,0.425,0.319,0.334,0.345
15:41:00,0.522,0.454,0.454,0.405,0.436,0.415,0.31,0.325,0.336
16:11:00,0.506,0.435,0.442,0.394,0.425,0.403,0.303,0.317,0.328
16:41:00,0.482,0.419,0.428,0.384,0.412,0.392,0.294,0.309,0.319
17:11:00,0.462,0.402,0.413,0.37,0.399,0.379,0.287,0.298,0.309
17:41:00,0.442,0.389,0.396,0.355,0.385,0.365,0.277,0.289,0.304
18:11:00,0.421,0.372,0.379,0.339,0.369,0.35,0.268,0.283,0.294
18:41:00,0.398,0.358,0.366,0.33,0.356,0.338,0.26,0.272,0.288
19:11:00,0.364,0.341,0.349,0.315,0.341,0.322,0.252,0.264,0.279
19:41:00,0.339,0.324,0.333,0.303,0.331,0.31,0.242,0.257,0.273
20:11:00,0.313,0.307,0.32,0.292,0.316,0.3,0.235,0.249,0.262
