mutants,conditions,Transformation_efficiency
R6x,Mix,30.95890411
R6x_11930_phage,Mix,10.84158416
R6x,Mix,8.371134021
R6x_11930_phage,Mix,10.21782178
R6x_11930_phage,Mix,15.6039604
R6x_11930_phage,Mix,20.36363636
R6x_11930_phage,Mix,22.74698795
