mutants,deletions
partial 1_GD,1.972222222
partial 3_GD,1.627906977
ssbB_GD,0.272727273
partial 1_GD,1.884615385
partial 3_GD,2.545454545
ssbB_GD,1
partial 1_GD,1.538461538
partial 3_GD,3.083333333
lytA_GD,0.825
partial 1_GD,0.823529412
partial 3_GD,1
lytA_GD,2.857142857
ssbB_GD,0.4
