mutants,deletions
gd_partial1,1.436090226
gd_partial3,1.490909091
gd_ssbB,0.7
gd_lytA,2.87966805
gd_partial1,2.686567164
gd_partial3,2.755102041
gd_ssbB,2.162790698
gd_lytA,4.424242424
gd_partial1,1.168831169
gd_partial3,2.15625
gd_ssbB,4.15503876
gd_lytA,2.065088757
