Genotype,Ratio
WT,0.141269841
WT,0.7
WT,0.444067797
WT,0.251041667
WT,0.227142857
lytA::cat,0.460588235
int::cat,0.7
lytA::cat,0.792682927
int::cat,0.741836735
WT,0.633333333
lytA::cat,1.106542056
int::cat,0.536666667
lytA::cat,0.622222222
int::cat,1.175
