mutants,condition,deletions
partial 1,50ng,0.082051282
partial 1,200ng,0.07
partial 3,50ng,0.089790576
partial 3,200ng,0.102077151
ssbB,50ng,0.122857143
partial 1,50ng,0.092328042
partial 1,200ng,0.270491803
partial 3,50ng,0.128045326
partial 3,200ng,0.184736842
lytA,50ng,0.081395349
lytA,200ng,0.207407407
ssbB,50ng,0.047169811
ssbB,200ng,0.081920904
partial 1,50ng,0.046753247
partial 1,200ng,0.207
partial 3,50ng,0.093870968
partial 3,200ng,0.10828877
lytA,50ng,0.014563107
lytA,200ng,0.133469388
ssbB,50ng,0.073
ssbB,200ng,0.064761905
ssbB,50ng,0.021428571
ssbB,200ng,0.025925926
partial 1,50ng,0.046753247
partial 1,200ng,0.207
partial 3,50ng,0.093870968
partial 3,200ng,0.10828877
lytA,50ng,0.014563107
lytA,200ng,0.133469388
ssbB,50ng,0.073
ssbB,200ng,0.064761905
partial 1,50ng,0.070198675
partial 1,200ng,0.145851528
partial 3,50ng,0.112413793
partial 3,200ng,0.235195531
lytA,50ng,0.068811881
lytA,200ng,0.251682692
ssbB,50ng,0.097069597
ssbB,200ng,0.0836
